[0:00:18] Muuwannn: wow
[0:00:20] rimlivez: ดีคับ
[0:00:20] ice_za8_siwakon: ดีครับ
[0:00:22] PorscheHuh: ดีครับ
[0:00:22] jaygyp: ดีคับ
[0:00:24] atomchp: ดีคับ
[0:00:26] Earth9kTV: สวัสดีครับ
[0:00:26] 01dinjo: ดีคับ
[0:00:27] tigerstrac: ดีครับบบบบบบบบบ
[0:00:27] tar_lack: ดีง้าบบบบบ
[0:00:28] eddieyummy: WOW
[0:00:28] ManPrakasit142: ดีครับ
[0:00:33] lookielookie: คิดถึง
[0:00:35] sitthidet85: ห่ะ
[0:00:40] sikarin0945184417: สวัดดีคับพี่เอส
[0:00:42] chxt_tttt: หวัดดีคร้าบลุง
[0:00:42] eddieyummy: จริงดิ
[0:00:42] kayky_124: ดีครับ
[0:00:43] HaDes_eiei: ห๊ะ
[0:00:43] Make_some_pill: สวัสดีครับผมพี่เอส
[0:00:45] PorscheHuh: แอบตกใจนะเนี่ย
[0:00:46] artbrph: 😊
[0:00:47] farafirstll: ห้ะ
[0:00:48] kemenotoo: ?
[0:00:48] kengna4509: สวัสดีครับลุง
[0:00:48] thanakorn055: ดีครับ
[0:00:49] colazaaa: ดีค้าบบบ <3 <3
[0:00:49] autgamers2007: สวัสดีครับ
[0:00:50] Earth9kTV: กดเข้ามาเล่นไลพอดีเลยด้วงดีจัด
[0:00:51] tar_lack: ตกใจมากกกก
[0:00:51] LARGEBODy_GLHF: ดีครับพี่เอส
[0:00:51] 0nlinefilm: มาไง
[0:00:51] ball_j: เข้
[0:00:52] fakim24: ดีค้าบ
[0:00:52] ice097: ห้ะ
[0:00:53] brokeboina: ห้ะ
[0:00:54] wiwkub: หะ
[0:00:54] Galaxyz_s: เห้ยๆ
[0:00:55] pp_aomsin09: ดีจัง
[0:00:55] shx_bl: ห๊ะ
[0:00:55] edward898: ดีคับ
[0:00:56] StefanoYedke: เพลงฟรี อะ
[0:00:57] geeee96: มาไวแท้ ตัวจริงป่าวเน้ย หยอกๆ
[0:00:58] teehid1x: ซาซาซาหวัดดีครับ
[0:00:59] blackjack_xxx: 555555555
[0:00:59] sitthidet85: เราฝันอยู่ใช่ไหม
[0:01:00] 01dinjo: เมื่อคืนหลับตอนลุงมา
[0:01:00] ba_furu: สวัสดีครับ
[0:01:00] tnploser: นี่หล่ะเย็นๆเจอกัน
[0:01:00] Galaxyz_s: ฝนตกๆปะเนี่ย
[0:01:00] dab_po: เปิดตัวมาเพื่อนโดนอุ้ม555 หวัดดีครับลุง
[0:01:01] Golfgaab: fpsArkkkk
[0:01:01] mppb_: มาถึงมีเคสเลยย
[0:01:02] kengna4509: ใช่ลุงไหมครับ
[0:01:02] wiwkub: ลองคอมเเหละ
[0:01:02] darintop1: ดีคับบบบ
[0:01:02] dew_ja: ดีครับ
[0:01:02] tinnapopxx: เห้ย
[0:01:03] tar_lack: มาไง
[0:01:03] peanattaponz: เหยดๆๆ
[0:01:03] arm__2005: ดีค้าบ
[0:01:04] nontiwa: ?
[0:01:05] jamebaile0_0: ผมว่าฝนตก
[0:01:05] kenerh_v: มาไวเเท้
[0:01:05] tenten789: ดีครับ
[0:01:05] openError: อุแว้
[0:01:06] FUANGFA_CHAOBOL: เห้ยยย
[0:01:06] NuAckerman: ห้ะโหพายุเข้า
[0:01:07] penguin1150: ไวจัดดดด
[0:01:07] farafirstll: มาไว
[0:01:07] pswac__: ดีค้าบ
[0:01:08] bluesky2580: ดีครับ
[0:01:08] Nightbot: Subscribe ได้ที่ลิ้งนี้https://www.twitch.tv/products/rebirthztv/ticket?ref=below_video_subscribe_button
[0:01:08] HaDes_eiei: เอาว่ะมาเร็วแบบเดือดๆ
[0:01:08] zaza123123zaza: ดีครับบบบ
[0:01:08] pongsakornsss: ห้ะมาใวจัง
[0:01:09] tar_lack: 55555
[0:01:09] tigerstrac: เห้ยยยยยยยยยยย
[0:01:09] anas_ut: ดีค้าบพี่เอส
[0:01:09] 9263826: แต่เช้าเลยยยย
