[0:00:27] hisoka_200x: PogChamp
[0:00:30] tan_888: สาหวัดดีครับ
[0:00:34] rozysss: ดีค้าบ
[0:00:35] so_cute_2007: ดีครับลุง
[0:00:35] thanathipboonsap554: ดีครับ
[0:00:35] wrkchlkh: ดีง้าบบบบบบบ
[0:00:36] mmaaxxx: สวัสดีครับพี่
[0:00:39] lucifer5622: ดีครับ
[0:00:39] i_FiLMm: กำลังดูคลิปย้อนหลังพี่แต่พี่ดันมาพอดี
[0:00:41] boyezgamer: สวัสดีครับพี่เอส
[0:00:42] panu_112: CoolCat
[0:00:46] anas_ut: ดีค้าบพี่เอส
[0:00:48] phatchakreat_beer: ดีคับ
[0:00:51] armbanchon1992: Dครับ
[0:00:54] Fist_Immortal: hinas3Hi hinas3Hi hinas3Hi
[0:00:55] Running_31: ดีค้าบลุง
[0:00:57] bkk8839: BibleThum HeyGuys
[0:00:59] aekkaphop_: หวัดดีครับ
[0:01:01] eddieyummy: ดีฮะ
[0:01:03] nakumi_9: ใครวะเนี้ยอย่างหล่อเลย
[0:01:05] snow_zd: ดีคับ
[0:01:06] 9twz_ball_zz: ดีครับ
[0:01:06] feeclub23: ดีค้าบ
[0:01:07] beamjub: ดีครับลุงง
[0:01:07] artee_989: 1
[0:01:07] nthT521: ดีคับ
[0:01:07] 9zerobetex: ดีครับ
[0:01:08] teezeroo1: ดีคับ
[0:01:13] olympuskup: dkup
[0:01:13] oodododdd: ดีฮ่ะ
[0:01:13] artee_989: ดีครับ
[0:01:14] nightmoon_n: ดีคับ
[0:01:14] topson_windiche: ดีรครับ
[0:01:14] 38_KillzX: ดีครับ
[0:01:14] teammondream: ดีฮ้ะ
[0:01:15] tangkubbbbb: ดีค้าบบบบ
[0:01:15] tasnimes_: ดีค้า
[0:01:16] PXPVIIX: หวัดดีครับ
[0:01:16] theerapol2538: ดีครับ
[0:01:18] film_fc: มาเเล้ว
[0:01:18] auaou: หวัดดีงับ
[0:01:19] talukmom123: หวัดดีคับ
[0:01:19] sdubkkkkk: ดีค้าบสุดหล่อ
[0:01:20] so_cute_2007: ดีครับพี่เอส
[0:01:21] bellll_07: ดีค้าบพี่
[0:01:22] THEI3oosGuxiiii: ดีน้าบบ
[0:01:22] pattarakarn_1447: ดีครับบบบ
[0:01:23] phoniltv: สวัสดีครับ
[0:01:24] chakrit999: ดีคะบ
[0:01:25] penguin1150: ดีค้าบบบบบบยบ
[0:01:25] film_fc: ดีครับ
[0:01:26] thanaphat119: ดีค้า
[0:01:26] teammondream: ตึงน้าๆ
[0:01:27] tasnimes_: ดีค้าพี่เอสส
[0:01:27] awkgg156: ดีค้าบ
[0:01:27] copterth31: ดีครับสุดหล่อ
[0:01:27] jirapatazaz: ดีครับ
[0:01:27] artee_989: ลุงดูโลงรถ
[0:01:28] 7et4: ดีค่าบบ
[0:01:29] PorscheHuh: ดีครับบบ
[0:01:30] sdubkkkkk: พี่เอส
[0:01:30] animal_ch: หวัดดีครับ
[0:01:30] Nightbot: พี่เอสหล่อมาก
[0:01:30] NirAnkoeDkhiaO: ดีง้าบ
[0:01:31] jamesaaya: ดีค้าบบบบบบบ
[0:01:31] zukadr: ดีครับ BegWan BegWan
[0:01:31] Hearttoyo: dee kub
[0:01:31] copter2711: อย่าสปอยครับผม
[0:01:32] ma1127: ดีครับพี่เอส
[0:01:32] nfydt: หวัดดีงาบ
[0:01:33] sirapop_2788: ใต้บ้านเดือดนะ55
[0:01:34] nuengloom: ดีคับ
[0:01:34] mkt51: กำลังจะเข้ามาดูเลยว่ามารึป่าว ขึ้นสตรีมพอดี
[0:01:35] 05beer: ข้างล่างกำลังเดือด
[0:01:35] nawapont: ดีค่าบบ
[0:01:35] arm__2005: ดีค้าบบ
[0:01:36] mos310840: ลุง
[0:01:36] toey_169: หวัดดีค้าบบ
[0:01:36] songklod111: จุกจ่ะตายล่ะะ
[0:01:37] burger999999999: ดีครับลุง
[0:01:38] teammondream: เหล่ท่อ555
[0:01:38] finsishz: ดีค้าบอย่าสปอยเด้อ
[0:01:39] Nightbot: Subscribe ได้ที่ลิ้งนี้https://www.twitch.tv/products/rebirthztv/ticket?ref=below_video_subscribe_button
[0:01:40] autoz3: ดีคับพี่เอส
[0:01:40] nthT521: ดึคับลุงงง
[0:01:40] pancake_1112: ดีงับ
[0:01:42] techin_n49: dkub
[0:01:44] viewnover1: ดีฮับ
[0:01:44] flappawat: ดีค้าบลุงง
[0:01:44] panupatck: SeemsGood
[0:01:45] narunya46: ดีค้าบบบ
[0:01:46] sarawut0620703375: ดีคับลุง
[0:01:46] kebehdj: ดีงับ
[0:01:47] lolololololzaza: เสื้อ JAK ไกล้มายังพี่
[0:01:47] bankscg: หูแตก
[0:01:48] thanakrit_292551: ดีงับ
[0:01:48] 42OOG_: หวัดดีค้าบบบยบ
[0:01:49] tasnimes_: เข้ามาไม่ถึงไหนสปอยสะแล้ว
[0:01:49] lovepopl: สวัสดีคับบพี่เอสสสส
[0:01:50] auaou: สปอยเพื่อ
[0:01:50] nareekan25_: ลุงทำไมพี่จุกโดนฆ่าอะ
[0:01:51] worakarn_noey: ดีค่ะ
[0:01:52] bankscg: ยัง
[0:01:52] teammondream: ดีค้าบพี่เอส💖
[0:01:53] watcharakon_1: ดีค้าบ
[0:01:53] bowiekittiya: ในบ้านเดือดไเลย
[0:01:53] jakkritsoking: ดีค้าบพี่ชาย
[0:01:53] lucifer5622: StoneLightning
[0:01:54] 42OOG_: rebirthztvLove rebirthztvLove rebirthztvLove rebirthztvLove rebirthztvLove
[0:01:54] Player1_TH: SingsNote
[0:01:56] jaszxc60: ยืนแอ็ค
[0:01:56] 7et4: ดีค้าบลุง
[0:01:59] srxtnov: 1
[0:01:59] narawut_99: สสสสสสสสสวัสดีครับ
[0:02:01] rabbit_t_: ดีน้าบบบ
[0:02:01] microwavexa: ดีครับลุง rebirthztvLove
[0:02:02] paradin2004: ดีงับบ
[0:02:03] ntaly35: ลุงพี่จุกธดนเเทงตาย
[0:02:04] pukqjkd: โรงรถจะไหม้แล้ว
[0:02:05] stamp_oopshot: ดีค้าบลุง
[0:02:07] finsishz: อย่าสปอยยยยยยยย
[0:02:07] dew11w: ดีครับ
[0:02:07] nxeyy__: ดีฮ้าาา
[0:02:07] arshiwynternelboy: ดีค้าบบบ
[0:02:08] na_wink: สัดดีคับลุง
[0:02:09] toey_169: @filmzx9210 สปอยมั้ย
[0:02:09] j0ne50o: wedwtf06_UN wedwtf06_UN
[0:02:10] job2552: ดีงับ
[0:02:10] contact_8888: มาถึงก็สปอยเลยเนาะ
[0:02:10] masterjay3: ดีครับ
[0:02:10] artee_989: โรงรถเดือด
[0:02:10] mintked: สวัสดีคับลุง
[0:02:11] nnitsupa: หวัดดีค่าา rebirthztvLove PrideFlower rebirthztvITA
[0:02:11] shin_r35: เค้าพี่เอส
[0:02:11] crossxdevile: ไม่มีแล้วแม็คjakวันนี้แยกแก๊งอินดี้555
[0:02:14] nfydt: rebirthztvHurt
[0:02:14] uiojgu: ดีคับ
[0:02:16] beerkungz1402: ดีครับ
[0:02:16] sirapop_2788: มาเร็วว่ะะะ
[0:02:17] kim_57u: ดีน้าบบบบบบบบบบ
[0:02:18] gith_5555: รอแบนสปอยเลย55555
[0:02:19] auaou: @spunzmm สปอยเพื่อ
[0:02:20] toey_169: @godteeza ไม่สปอย
[0:02:20] oodododdd: อร้ายยย
[0:02:21] lplplplplplpllp: ดีคับ
[0:02:22] K3nNicolai: ดีครับลุง
[0:02:22] folk100: ในบ้านลุง
[0:02:23] picktvchanel: ดีคับ
[0:02:23] sanchai345: ดีคับ
[0:02:24] masterjay3: FBtouchdown
[0:02:26] dloptowu: ดีครับป่ม
[0:02:29] kaopattaya: หวัดดีครับ
[0:02:29] midfild: สปิย
[0:02:29] ntaly35: พี่จุกโดนเเจ็คกี้เเทงตายคับ
[0:02:30] plamzaaplam: ดีค้าบลุง
[0:02:31] jaszxc60: HeyGuys
[0:02:31] job2552: SingsMic เย้ๆๆๆSingsNote
[0:02:31] gamekoas: ดีครับ
[0:02:32] Hearttoyo: พวกชอบสปอยต้องโดนหนักๆ
[0:02:32] rabbit_t_: ไม่สปอยเน้อ
[0:02:34] nnitsupa: rebirthztvLove
[0:02:34] zeetar_u: ดีค้าบบบบบบ
[0:02:35] midfild: สปอยจงมาาาาาาา
[0:02:37] copter2711: เดียวลุงก็เห็นเอง
[0:02:37] s0dix_: ดีค้าบ
[0:02:38] ratthanun_sirisom: เดียวมาค้าบ
[0:02:39] toey_169: @ntaly35 สปอยเพื่อ
[0:02:40] bankscg: ดีครับพี่เอส
[0:02:41] auaou: สปอยเพื่อ
[0:02:41] Skoyman: สปอยดิไอเอ๋อ
[0:02:43] supakornnn4: คิดถึงลุงจัด
[0:02:44] 9twz_ball_zz: @midfild ถามเพื่อไปดูดิ
[0:02:45] nirut4869: มาถึงก็สปอยเลยดีครับแชทคุณภาพ
[0:02:45] mnguih: 55555
[0:02:48] tenny_k1: ดีครับลุงแม็คคคคคค
[0:02:49] pimsty_: ดีงับ
[0:02:50] win_x_croissants: ดีครับ
[0:02:51] nareekan25_: ดีกั๊ฟๆๆๆๆ
[0:02:52] lovepopl: สปอย เก่งจริงๆๆ5555
[0:02:53] tasnimes_: อย่าสปอยเน้อ
[0:02:55] s0dix_: @midfild เพื่อ
[0:02:57] Hearttoyo: สปอยก็โดนไปดิ บื้อจัด
[0:02:58] Anawil_77: ดีครับ
[0:02:58] toey_169: @filmzx9210 ก้ไม่สปอยไง
[0:02:59] job2552: เเชดครับ
[0:03:02] MaithaiJaitawan: สวัสดีครับคุณลุง KPOPheart KPOPheart
[0:03:04] fulox20: rebirthztvAfk_UN
[0:03:04] love_jak: ดีคับลุงง
[0:03:05] gildzix: สวัสดีพี่งอก
[0:03:07] contact_8888: สปอยเพื่อไรอ่ะ?
[0:03:09] r2_kog: ดีง้าบบบ
[0:03:11] jjpynx: ดีงับ
[0:03:11] peesoxa2345: ดีค้าบลุง
[0:03:11] goodbyes1412: ดีครับ
[0:03:12] job2552: เพื่อ
[0:03:12] win_x_croissants: กรุณาอย่าสปอยนะครับ แชทที่น่ารัก
[0:03:13] calos_loza: กำเกิดไรขึ้นงง555
[0:03:15] modhublovepg: ดีงับ
[0:03:15] phetfkj9: ดีงับพี่
[0:03:16] tee_2549: สวัสดีง้าบ
[0:03:17] jamesaaya: อย่าสปอยเน้อ
[0:03:17] paporgamertv: สวัสดีครับ
[0:03:19] rabioza_z: ดีค้าบบบบบบบบ
[0:03:21] minggoooooo: ดีค้าบลุงงงงงงงงงงงงง
[0:03:21] pota12130: ลุงอยู่มา7ปีล่ะออกเถอะคับ
[0:03:21] eakkeyy: ดีคับดี
[0:03:21] attemp_: นี้ขนาดพึ่งมาแชทดูเดือดเชียว5555
[0:03:22] tuysocute: ครับ
[0:03:22] new990: ประมลูรถวันไหนงะ
[0:03:22] sesomaru_zzz: เอาละไม่ถึงไหนก็มีเด็กสปอยแล้ว
[0:03:22] pukqjkd: rebirthztvSad
[0:03:22] PhakX_: SeemsGood
[0:03:23] jiraphattv: ดีคคับ
