[0:00:11] minggoooooo: ดีค้าบลุงงงงงงงง
[0:00:17] xwitayaz: D Kub
[0:00:19] tang_td: ดีคับ
[0:00:22] farafirstll: ดีครับ
[0:00:31] artxa007: ดีค้าบ
[0:00:32] armmuliveol: มาเเล้ว
[0:00:33] xxnaygamexx: สวัดดีคับ
[0:00:33] oak_2549: ลุงหวัหดีคับ
[0:00:33] supakornintaratran: ดีครับ
[0:00:35] kapomcub: ดีครับ
[0:00:37] abdullaso: ดีคับ
[0:00:43] 0871956352: ด48้2บบลุง
[0:00:43] peesoza: สวัสดีค้าบ
[0:00:44] 0813848473az: มาเเล้ว
[0:00:44] kongkrapan: ดีค่าบลุง
[0:00:45] farm1242: ดีครับ
[0:00:47] boss_pee: ดีคับเสี่ย
[0:00:47] nunut6869: ดีเคิ้ป
[0:00:47] sssssuuuurrraaaa: มาไวนะเรา
[0:00:48] tonmtr: ดีครับ
[0:00:49] rucifr: อ้าาาา
[0:00:49] milkpowder001: คนสเนเสด
[0:00:49] aotlovetar: 1คุบ
[0:00:50] isbye0l: ดีครับ
[0:00:51] romanfhak: ดีครับ
[0:00:51] champ_tnbd: ดีค้าบ
[0:00:51] anakhet_2007: มาเเล้วจ้า
[0:00:52] kongkrapan: ดีค่าบ
[0:00:52] NAnaTt_: ดีครับ
[0:00:52] Natthawut_Oppa: พี่เอสสวัสดีค้าบ
[0:00:52] pimsty_: ดีค่าคุณลุง
[0:00:52] dorxthyyyy: Dค่า
[0:00:52] sademaron_posseber: ดีค้ราบบบ
[0:00:53] nontanan2547: ลุงหวัดดีครับ
[0:00:53] jakkarin123456: ดีครับลุง
[0:00:53] TXNG48: ดีคับลุงงง
[0:00:53] ak_arsy: ดีง้าบ
[0:00:54] thipsumol: ดีค่ะลุง
[0:00:54] 0813848473az: ดีครับ
[0:00:54] zeetar_u: ดีครับ
[0:00:55] yada_w15: ดีค่ะ
[0:00:55] THIPPLEX: สวัสดีครับ
[0:00:56] arongkon_02: มาแล้วครับ
[0:00:57] jakxefaq: ดีครับ
[0:00:57] yuji007s: ดีครับ
[0:00:57] Running_31: ดีค้าบ
[0:00:58] misaru_45: ดีครับ
[0:00:58] com_ccc: หวัดดีลุงเอส
[0:00:58] micgaid: สวัสดีค่ะ
[0:00:59] mxngo1995: สวัสดีครับสุดหล่อ
[0:01:00] lovepouu123: ดีค้าบ
[0:01:00] nattapong55566: กีคุบ
[0:01:00] FARAJOB: ดีครับลุงงง
[0:01:00] hunter_n11: PoroChop
[0:01:00] ok_nabi: ง่าา
[0:01:00] bambam0213: ดีฮ้าบบบย
[0:01:00] thanaphat119: ดีค่าบ
[0:01:01] frank6564: ดีค้าบลุงง
[0:01:02] homeman55: ดีครับลุง
[0:01:02] Natluvfamily: ดีค้าบบ
[0:01:02] sealwct: rebirthztvAfk_SG
[0:01:03] PONDSERXYZ: มาเเล้ว
[0:01:03] chitipatsjs: สาหวาดดีค้าบ
[0:01:04] via2020z: ดีคับลุง
[0:01:04] bas_7449877: หวัดดีคับพี่บอล
[0:01:04] KANAKORN_34: หวัดดีค้าบลุง
[0:01:05] s_i_r_f_i_l_e: ดีคนัลลุว
[0:01:05] peat21: ดีครับ
