[0:00:14] 0871956352: ดีค้าบบบลุง
[0:00:16] huhuhuuuuuuuu: <3 <3
[0:00:17] phe_phoenix: สวัสดีครับพี่เอส
[0:00:23] boyice15: ลุงๆๆๆๆๆๆๆๆๆๆ
[0:00:23] ctus25518: ดีครับ rebirthztvPlease rebirthztvPlease
[0:00:23] jaklovelove: สวัสดีครับพี่เอส
[0:00:25] yo_thanawat: d kub
[0:00:26] icezaaaaaaaa: สวัสดีครับ
[0:00:26] chawanwit759: สวัสดีครับ
[0:00:27] hamnoiseenon: ดีครับลุง
[0:00:28] 3rdOatbillionare: rebirthztvMc
[0:00:28] sakchai2006: ดีคับ
[0:00:29] dkubdd: ดีครับ
[0:00:29] chanudom456: ดีครับ
[0:00:30] 1millbar: Maleaw
[0:00:30] jattapon001: ดีครับ
[0:00:30] arshiwynternelboy: ดีค้าบบบบ
[0:00:31] patdaine0o0: amndtwNgoii amndtwNgoii amndtwNgoii amndtwNgoii amndtwNgoii
[0:00:31] poiressa: มา
[0:00:31] eakkon999: ดีค้าบบย
[0:00:32] boatnattanan12: วัดดีเพื่อนเลิฟ
[0:00:32] zxmmngc: คนอรก
[0:00:33] EMWILD_: thuglyLIKE thuglyLIKE
[0:00:33] newkop47: สวัสดีค้าบบบ
[0:00:33] sirzackkkk: ดีครับลุง
[0:00:34] chaiyapruek1512: หวัดดีจ้าบบบบ
[0:00:34] rimlivez: ดีคับ
[0:00:35] poo_133: ดีคับบบบบบ
[0:00:35] auto_063: มาเเล้ว
[0:00:36] ram77_racng_shop: VoHiYo VoHiYo
[0:00:36] arshiwynternelboy: พึ่งตื่นใช่มั้ยค้าบบบ5555
[0:00:37] hamnoiseenon: HeyGuys
[0:00:39] phe_phoenix: StinkyGlitch
[0:00:39] kan2929: ดีครับ
[0:00:39] Shield__: PogChamp
[0:00:40] re_d0: <3
[0:00:40] poiressa: ดีครับ
[0:00:40] nogobi_9543: สวัสดีค้าบลุง
[0:00:40] teammondream: ดีค้าบ
[0:00:41] tawan_205: PixelBob PixelBob
[0:00:41] namo2523: dkub
