[0:00:03] nongtzz: 95
[0:00:09] saymaironanla: หวัดดีครับ
[0:00:09] HiewKanom: Kappa Kappa
[0:00:11] 008_dc: ดีคเาบบ
[0:00:15] kromwwy: ดีครับ
[0:00:15] khobeone: มาแล้ว555
[0:00:17] TenglyCH: ดีค้าบบบบ
[0:00:20] pancake_1112: ดีครับ
[0:00:23] asang_kang_jelyee: ดีพี่
[0:00:27] lotionle: แท็กเกมครับป็าาาาา
[0:00:27] winter_2550: ดีค้าบ
[0:00:28] LARGEBODy_GLHF: ดีค้าบพี่เอส
[0:00:29] sealwct: ดีครับ
[0:00:38] pomkii2552: มานานจัง
[0:00:38] moe_blackblood: ดีครับ
[0:00:39] kafiwwww: รอจนเกือบหลับ
[0:00:39] GODJI_kub: หวัดดีครับ
[0:00:39] yo_thanawat: d kub
[0:00:40] siqsicq10: Ddddครับ
[0:00:41] ohho1221: หวัดดีห้ะ
[0:00:42] thanaphattv: ดีครับ
[0:00:45] jarupat3: ดีงับ
[0:00:45] mmmmmmmmmmmiajanakl: ืมาแล้ว
[0:00:46] phasumon1: 1
[0:00:46] Jinkabel: สวัดดีครับลุง
[0:00:46] FIRXXST: ดีครับพี่เอส
[0:00:46] maxzeed3331: rebirthztv10
[0:00:49] a_keyma: !uptime
[0:00:49] piaezemap: ดีน้าบบ
[0:00:50] Nightbot: Stream uptime 1 minute, 9 seconds
[0:00:51] nongbank1172: หวัดดีครับ
[0:00:52] oil_smith59: ดีคับ
[0:00:52] ThinkETH: ดีครับ
[0:00:54] aonaonnnnnn: ดีครับ
[0:00:54] monsusu: ดีครับ
[0:00:54] shimon27488: ดีครับ
[0:00:54] icee_pkp_08: ดีน้าาบ
[0:00:55] naretoo: สวัสดีครับลุงง
[0:00:56] kiavin_1996: ดีครับ
[0:00:57] masterwiriya: ดีครัย
[0:00:57] nattaponyou: ดีครับบบ
[0:00:57] kannijiwa: ดีค้าบ
[0:00:59] Dream1P: ดีครับ
[0:00:59] kitzaoo1: ดีค้าบบบ
[0:01:00] jamebound007x: สวัสดีครับ
[0:01:01] patcarapon99: ดีครับ
[0:01:01] krishna2544: ดีครับลุง
[0:01:01] bank_rock2533: สวัดดีครับลุง
[0:01:03] Cornflake_n: ดีค้าบบล
[0:01:04] methaaraphon17: สวัสดีครับ
[0:01:06] SODSAI_TH: hi 👋
[0:01:07] iguesigi3isjfkwixi: ดีครับลุง
[0:01:07] Baphometz6: ดีฮะ
[0:01:07] unknxwn_sss: ดค
[0:01:08] hoytord1: ดีครับลุง
[0:01:09] nongkrapatakui: ดีง้าบลุง
[0:01:10] racker49631: มาแว้ว
[0:01:14] nonsosad: ดีค้าบลุง
[0:01:15] BungseeOrio: rebirthztvPlease rebirthztvPlease
[0:01:17] jatingja_: ดีคับนารูตู่
[0:01:18] earnearn1123: ดีคะ
[0:01:18] sssssuuuurrraaaa: SeemsGood SeemsGood SeemsGood
[0:01:19] songpon_66: ดีครับ
[0:01:19] coaboo_: ดีง้าบ
[0:01:19] GODJI_kub: ดีครับพี่เอส
[0:01:19] 0925758524: ดีค้าบบ
[0:01:20] bi_kabb: ดีครับ
[0:01:20] idragon_06: ดีค้าบลุง
[0:01:20] ratthaphattv: ดีงับบ
[0:01:20] oil_natthakorn: หวัดดีง้าบบ
[0:01:20] bobkakenang: ดีค้าบ
[0:01:21] tonmtr: ดี
[0:01:21] faifx2: ดีคับสุดหล่อ
[0:01:22] pluemmaxwell: ดีครับลุง
[0:01:22] nez901: ดีคับ
[0:01:22] aztex21: ดีค้าบบบ
[0:01:22] cherd_789: ดีครับลุง
[0:01:23] phumirin: ดีครับ
[0:01:23] SITTHICHOK___: ดีครับ
[0:01:23] 070per: ดีค้าบบ
[0:01:23] pomkii2552: rebirthztvOmg_SG
[0:01:23] chaxx_itt: ดีค่ะ
[0:01:23] kafiwwww: เพลงไรครับ
[0:01:23] chen_jitiwattana55: ดีครับ
[0:01:23] torrapeee02: ดีค้าบบบ
[0:01:23] beamnogod: ดีค้าบ
[0:01:24] wathanyu7186: คิดถึงวง
[0:01:24] ナッ: rebirthztvPlease rebirthztvLove
[0:01:25] lookback51: สวัสดีครับลุงคิดว่าไม่มา
[0:01:25] aum1116: ดีครับพี่เอส
[0:01:26] brigth2004: ดีค้าบบบ
