[0:00:26] banksadjak: ดีค่าบ
[0:00:29] ballg07: ดีคับ
[0:00:29] looksims: ...
[0:00:30] ramsix_: ดีครับบบบบ
[0:00:32] jopjop009: <3
[0:00:33] moji_sun: หวัดดีค้าบลุง
[0:00:35] pair_15: สวัสดีคร้าบ
[0:00:43] jowice_: ดีครับลุง
[0:00:43] ice_1907: ดีงับ
[0:00:43] frenmnb: <3
[0:00:45] javisyesss: ดีครับ
[0:00:46] bankzen1911: วันดีครับพี่
[0:00:46] silo0000: ดีครับลุง
[0:00:48] team2748: ดีค้าบป๋าาาา
[0:00:49] Anmaiok_: ดีครับ
[0:00:49] potaee444: หวดัดีครับ
[0:00:50] thanakornpimpa: สวัสดีครับลุง
[0:00:51] hadowemperor: สวัสดีครับ
[0:00:51] P_00_M: ดีค่าบบบ
[0:00:51] firstanim: ดีครรับ
[0:00:52] pakpoom224: สวัสดีครับลุง
[0:00:52] slpzzzxd: ดีค้าบ
[0:00:54] kingtopez: ดีครับ
[0:00:54] tanwaza25: ดีครับ
[0:00:54] leeandbeam: ดีค้าบ
[0:00:56] keng_mr: โดนเเน่
[0:00:56] mbrboogeyman: หวัดดีครับลุง
[0:00:56] ktwok99: มาแล้ววว
[0:00:56] athenaareshades: ดีครับ
[0:00:56] forddddxxxx: ดีคับ
[0:00:58] beer0044: ดีคับ
[0:00:58] rampage191xd: ดีครับ
[0:00:58] suwannaphum12: ดีครับ
[0:00:58] GunExZoZis: ไม่ได้ยิน
[0:00:58] yean0192: ดีครับ
[0:00:58] hue_za007: <3 <3 <3
[0:00:59] ZycraaX: ดีคนับ
[0:00:59] skrth26: ดีค่ะ
[0:00:59] THIPPLEX: สวัสดีครับ
[0:01:00] sommaitv0: สวัสดีค้าบบ rebirthztvLucas_SG rebirthztvTew_SG
[0:01:01] x131ll: ดีคับ
[0:01:01] bamboo919: ดีครับบบบบบ
[0:01:01] cozpixx_x: ดีง้าบบบบ
[0:01:02] iceriousxx: rebirthztvPanpee rebirthztvPanpee rebirthztvPanpee rebirthztvPanpee
[0:01:02] tao_nsc: สวัสดีครับ
[0:01:02] thanaphat119: ดีครับ
[0:01:02] LilSmoke_5: ดีน้าบบบบ
[0:01:03] tarvtg: หล่อจังครับ
[0:01:03] k0ng_ja: ดีครับ
