[0:00:28] jirapattaeza: ดีครัยบ
[0:00:33] nobita1619: สวัสดีครับลุง
[0:00:37] mart6546: ดีค้าบลุง
[0:00:37] aphinun1712: ดีค้าบพี่เอส35
[0:00:39] teerawatwanram: สวัสดีครับลุง
[0:00:47] shycop01: มาไวจังคบวันนี้
[0:00:48] nattkon170249: ดีครัึบ
[0:00:50] mick_pp: สวัดดีคับ
[0:00:52] louis_8888888888888888: ดีครับลุง
[0:00:53] nariswilom: ดีครับ
[0:00:54] sarutXx: SAWASDEE KUB
[0:00:54] baronzx2: ดีฮ่ะลุง
[0:00:54] pangwl: สวัสดีดีครับลุงงงงงงง
[0:00:55] sawaphatlatakua: สวัสดีครับ
[0:00:56] nonnxxx: ดีครับ
[0:00:57] ball_gamerr: สวัสดีครับ
[0:00:58] stxvenssr_: ดีครับ
[0:01:00] Nightbot: Subscribe ได้ที่ลิ้งนี้https://www.twitch.tv/products/rebirthztv/ticket?ref=below_video_subscribe_button
[0:01:00] owen2005asd: ดีครับ
[0:01:01] pea099: อยากดูพี่เกมรัสจังคิดถึง
[0:01:01] Divavodka_: ดีน้าบ
[0:01:01] OATtz_: ดีครับ
[0:01:03] thanathornake: !sc
[0:01:03] tanusin40: มาไว
[0:01:08] boss124578895: สวัสดีครับ
[0:01:08] treepako: ดีค้าบ
[0:01:13] kimdjdbd: ดีค่าบ
[0:01:13] natanon2: คิดถึงลุงจังเลยอุ
[0:01:14] zikcotinez: สวัสดีครับบพี่เอส
[0:01:16] aerpapa: ดีค้าบ
[0:01:17] jeon_than: ดีค้าบบบบ
[0:01:17] supapisit99: ดีค้าบๆๆ
[0:01:18] putchapat: ดีคับ
[0:01:20] tanavich03: กิ้ววว
[0:01:21] bobasx: ดีครับพี่เอส
[0:01:23] junior_heaven: ดีครับ
[0:01:24] tiwakorn_jr: หวัดดีค้าบบบบบบบ
[0:01:24] thatchai07: ดีครับ
[0:01:24] pub_14: ดีค้าบบบ
[0:01:24] d_donut_sk: สวัสดีค้าบ
[0:01:24] h3llomababe: ดีค้าบลุงง jackey9JackeyDja jackey9JackeyDja
[0:01:25] subbbb_: ดีค้าบบบ
[0:01:26] 000iloveyou000: ไม่ติดคริสะดั้ว
[0:01:26] talo_12383: ไวจัง
[0:01:27] ntpnes: ดีค้าบลุง
[0:01:28] guitarkubbb: ดีครับลุง
[0:01:30] 36maddog36: ดีครับ
[0:01:30] mawinxx: ดีครับ
[0:01:32] yeennchn: สวัสดีครับพี่เอส
[0:01:32] rexsizz: ดีครัช
[0:01:32] tootootootooo: ดีค้าบบบ
[0:01:34] asrw9246: สวัสดีครับบอส
[0:01:34] qwertyuipasd1150: ดีคับลุง
[0:01:35] kon6787: f78y[9^j
[0:01:35] kireyc1: ดีครับ
[0:01:36] iimmyy_: สวัสดีค้าบลุง
[0:01:41] tonnam1821: ดีค้าบบ
[0:01:42] chok_love: ดีคับ
[0:01:42] jerapat70: d kub p
[0:01:44] uvviihohh7rt8gojoogf: ดีคับลุง
[0:01:44] aom_ds999: ดีค้าบบ
[0:01:44] boyezgamer: สวัสดีครับพี่เอส
[0:01:45] nonnxxx: ครอบครัว Kappa ดีค้าบ
[0:01:46] kittines1: ดีค้าบบบบบลุงงง
[0:01:47] kongkai4444: ดีครับ
[0:01:47] gusad_122: ดีครับ
[0:01:48] thanawat_north: สวัสดีครับครับ
[0:01:48] ball_gamerr: ยุคเเจ๊คยุคเเจ๊ค
[0:01:48] cooperx159: ดีค้าบลุงงง
[0:01:49] flecthawaiieiei: ดีค้าบบ
[0:01:49] bellcilwbm28: หวัดดีคับลุง
[0:01:49] sugarr444: ดีครับ
[0:01:49] tellergbro: ลุงมาแล้ววววววววว
[0:01:50] lam11q: ดีครับ
[0:01:50] tewit191: ดีครับลุง
[0:01:50] hjtygkck: ดีครับ
[0:01:52] sad_fluke12: ดีครับ
[0:01:52] PleumLoveSAT: ดีครับ
[0:01:53] Predator_zo: หวัดดีคับลุง
[0:01:55] glimjow: d
[0:01:55] kokiez10: ดีครับ
[0:01:55] SaKaiSanTos_007: หวัดดีครับลุง
[0:01:55] tanapatcgg55: ดีครับลุงงงงงงงงง
[0:01:56] losotonza01: ดีครับ
[0:01:56] fitst2545: rebirthztvNice
[0:01:56] wittkwitssz: ดีครับบบ
[0:01:56] gggcghhjnk: ดีค้าบ
[0:01:56] natthakon21: ดีงับบบ
[0:01:57] intrude99: ดีคร้าบบบ
[0:01:57] kittisak52: ดีคับ
[0:01:57] kritsana_nay: มาแล้วว
[0:01:57] sarayaturhui: ดีครับลุง
[0:01:57] cha1yaphat: ดีครับ
[0:01:57] coke_phongsatorn: ดีครับ
[0:01:57] suwannaphum777: หวัดดีครับ
[0:01:57] darksun_16: ดีคับพี่เอส
[0:01:57] Gu_GuidE: ดีครับลุง
[0:01:58] fvrstxne: ดีน้าบ
[0:01:59] Paphawit_chaimul: สวัสดีครับ
[0:01:59] tjexe5029: ดีค้าบลุง
[0:02:00] Anmaiok_: ดีครับ
[0:02:00] ohmsosad_90s: ดีครับ
[0:02:00] taebukk: !uptime
[0:02:00] 038814: ดีครับ
[0:02:01] babybel_mu: ดีค่ะ
[0:02:01] zuwobu: ดีคับ
[0:02:01] Nightbot: Stream uptime 2 minutes, 9 seconds
[0:02:01] armj0ne: ดีค้าบลุง
[0:02:01] kongpop1781: ปยอ
[0:02:01] blink_dg: หวัดดีครับลุง
[0:02:01] immy_kun: สวัสดีค้าบบ
[0:02:02] benjawan_n: ดีค้า
[0:02:02] faifx2: D ครัง
[0:02:02] holizon_: d kup
[0:02:02] folkmkk: สวัสดีค้าบบบ
[0:02:03] nuumareemeerug: ดีครับสุดหล่อ35
[0:02:03] dear_16: สวัสดีครับวัยรุ่น8หลัก
[0:02:03] natchanon200: ดีครับ
[0:02:03] jumpshotch: ดีครับพี่เอส
[0:02:04] maipkr: ดีครับบ
[0:02:04] newcopter: ดี
[0:02:05] hactor_01: หวัดดีครับลุง
[0:02:05] meowhaerin__: ดีคร้าบบบบ
[0:02:05] tanatorn3322: มาไว
[0:02:05] tarsamit: สวัสดีครับบบ
[0:02:05] seewitawat: ดีค้าบลุง วันนี้มีบ้านใหม่นะ
[0:02:06] gungap44: มาละคับ
[0:02:06] peepigs: ดีครับพี่เอส
[0:02:06] IKr15Hn4I: ดีครับ
[0:02:06] MonX2X: ดีน้าบบบบบ
[0:02:07] nattakorn_111: ดีครับลุง
[0:02:08] mosphattarapol: ดีค้าบบลุง
[0:02:08] Doraemon0299g: ดีครับพี่เส
[0:02:08] pomix_2: ดีค้าบสุดหล่อ
[0:02:08] sixdriver22: ดีค้าบลุงงง
[0:02:08] BE4mxlive: หวัดดีครับลุงงงงงงงงง
[0:02:08] pohggez: สวัดดีค้าบ
[0:02:09] name_thakaskon: rebirthztvX
[0:02:09] fazxifafi: ดีน้าบบ
[0:02:09] sundy_12345: ดีครับลุง
[0:02:09] meaningless_12: ดีครับ
[0:02:10] sn0pparuj__: 35 35 35 35 35
[0:02:10] zerodpp: ดีครับ
[0:02:10] WTTLEA: ดีครับบบ
[0:02:12] Nadech_xx: ดีครับพี่เอส
[0:02:12] bizena: ดีครับ
[0:02:12] Nitr0Gen_77: สวัสดีครับ rebirthztvNarukeu
[0:02:13] pang_nn_: ดีครับ
[0:02:13] killuarog34: สวัสดีครับ
[0:02:13] IceCute_: มาไววว
[0:02:13] onigirijr7: ดีครับลุง
