[3:00:01] XENIA_XJP: ล่าง
[3:00:02] banknoi9: NotLikeThis jackey9JackeyLOL
[3:00:06] yuji007s: ]jk'
[3:00:06] nissannnnnnnnnn: LUL
[3:00:07] fluke_ooo: ลงอีกนิด
[3:00:08] tttt_tor: ลงอีก
[3:00:09] khobeone: StinkyGlitch
[3:00:10] kaoloveza: ลงอีกครับ
[3:00:11] kawoathhhhhhhhh: โพสมันไม่ค่อยเรียงอ่ะลุงง
[3:00:20] kunrabut: 555
[3:00:22] tar221043: ลงอีกคับ
[3:00:23] hibari1412: 555555555555
[3:00:24] shado_240: 55555
[3:00:24] gungap44: ตะกี้
[3:00:25] monalisatt: กด F5
[3:00:25] Nightbot: Subscribe ได้ที่ลิ้งนี้https://www.twitch.tv/products/rebirthztv/ticket?ref=below_video_subscribe_button
[3:00:25] TawBoss_: 55555555555555555
[3:00:25] tang_3357: นิดนึง
[3:00:26] BigcBow: 5555
[3:00:26] superadam26: 555555
[3:00:27] jameborn009: ไปเม้นดันโพสมา
[3:00:27] narongrit_48: 55555
[3:00:28] byeoul_dal: 5555555555
[3:00:28] martinmarjai: 5555555555
[3:00:29] sunkissed_4r: 55555
[3:00:30] wa_pha: หาไรครับ
[3:00:31] famespfollow: ลุงต้องเปลี่ยนเป็นล่าสุด
[3:00:31] TENLOWWELL: 5555555
[3:00:32] mjspidermanx: 555555
[3:00:32] teelawut_: โพสมันไม่เรียงมั้งลุง
[3:00:33] d3dxz: ฌ
[3:00:33] timmerxxxea: 555555555
[3:00:34] dk_hi: 5555
[3:00:36] phupha_55: สั่งแฟนะ
[3:00:38] jkrowling48: f5มั้ย
[3:00:38] jaotuy: 5555
[3:00:38] chicken_2222: LUL LUL
[3:00:38] peeeetch: เพลงเพราะ
[3:00:39] 아르시즈키: ช่วยกันดันสิ
[3:00:40] chettha_polaew: พอๆ
[3:00:41] Taojiro: F5
[3:00:41] 2ezy_007: ล่าสุด
[3:00:41] l4sundy: ดูในรูปภาพวิดีโอก็ได้ลุง
[3:00:41] BIWyaniz: อพลงนี้โคตรเท่
[3:00:42] t4nbn77: 555555
[3:00:43] sonthaya_07: ไปอีก
[3:00:44] purple_moon_iusupczz: เพลงดี
[3:00:44] bananacupcakez: 555555
[3:00:44] kirito77x: มันเป็นรูปเดอะบอส
[3:00:45] khinglikeyme: เพลงนี้มัน
[3:00:46] kornlolpop: ลงอีก
[3:00:47] banknoi9: กลับเข้าเกมส์จบ55555
