[1:00:01] OpieTelford: ซื้อแล้วไม่ใช่หราาาา
[1:00:03] keng418: เอาาาาลถงงง
[1:00:04] phethahe: สวยจริง
[1:00:04] THE271: กล่าวถึงลุง
[1:00:05] sixdriver22: ของมันคู่กันลุง5555
[1:00:05] nanoregency: ต้องป๋าโจ
[1:00:07] praewa__: เห็นแล้วนีกถึงพี่แว่น
[1:00:08] dasosa_itty: ซิง
[1:00:08] AloneZ_3012: สวยเกินนนน
[1:00:09] charlotte20005: ซิง
[1:00:09] WaTzTeeRaWaT: วีสเป็คเน้อ💙💙💙
[1:00:09] i_kuyy: gtt แปลง gtr ก็สวยล่ะ ขับชิวๆ
[1:00:09] svjboyd: จริงๆ
[1:00:10] nongoat9140: ลุงไม่สนเล่น อีโว มั้งหรอครับบบบบบบบบ
[1:00:11] preamo_o: ซิง
[1:00:11] 1sert23: ผมมีทะเบียน35นะครับลุง
[1:00:12] hamdamnahkap: ไอดล
[1:00:14] sirayuhbeat: 5555++
[1:00:14] dabkumfew: จริง
[1:00:15] wiraphat_2208: ซิง
[1:00:15] piriyapat_: อันบนฮาๆ
[1:00:16] nong_chocobo: 5555
[1:00:16] hibari1412: 555555555555555
[1:00:16] Mathisgod: 55555555555555
[1:00:16] twotone3: 5555555555555
[1:00:16] gsss44n: 55555
[1:00:16] kimmy_ssr: ดูอันแรก
[1:00:16] mxjdkdbdsnsksn: 5555555555
[1:00:16] nonsnook26: 5555555544
[1:00:16] allwhite0w0: 55555555555555
[1:00:16] jiming4017: 555555555
[1:00:17] p1chys: 555555
[1:00:17] neverdie_1992: 5555555555555555
[1:00:17] parinzq: 555555555555
[1:00:17] aopcts: อันตะกี้ตลกลุง
[1:00:17] tumo007: rebirthztvHa rebirthztvHa
[1:00:17] LegacyEpicOutsider: 555555
[1:00:17] xizzack: 55555
[1:00:17] K3nNicolai: 5555555555
[1:00:17] SONGDOOHee_: 555555
[1:00:18] galaxstn: 55555
[1:00:18] beam_050: 5555555555
[1:00:18] guy_ariyaa: 55555555555555555555555
[1:00:18] kraprow_musapp: 5555555555
[1:00:18] Whatis_happiness: 555555555555
[1:00:18] geegyboizzz: 5555
[1:00:18] somebadyluv: 55555
[1:00:18] phanupong46: 555555
[1:00:18] immy_kun: 55555
[1:00:18] Teddyl3ear_: 555555555555
[1:00:18] sippasit: 555555555555
[1:00:18] xsathaporn: 55555555555555555555555555
[1:00:19] 101perc: 5555555
[1:00:19] weddayyyyy: 55555555
[1:00:19] BIWyaniz: 555665555
[1:00:19] sakamotodeska: 5555555555
[1:00:19] espirateaofzj: 5555555555555
[1:00:19] LeOn_MMIII: 5555
[1:00:19] peakpoonnnn: 555555
[1:00:19] IT_itTItiIT: 55555555555555555555
[1:00:19] jkrowling48: 55555555
[1:00:19] IUsoCute01: 55555555555555555
[1:00:19] kid_winny_29: 5555555555555555555555555
[1:00:20] i_am_wedday: 555555555
[1:00:20] polyzpunza: 55555
[1:00:20] arnus_arnus: 55555555555555555555
[1:00:20] kobizzzzzzz: 5555555
[1:00:20] pooh123zaz: ผ.ช.กรี๊ด5555
[1:00:20] bigbear_r: 5555555555
[1:00:20] tonetone2000: เสี่ยปอยเปตรกลับมายังลุง
[1:00:20] duekkdj: 5555555+
[1:00:20] thanakrit116: rebirthztvHa rebirthztvHa
[1:00:20] reekids11: 555555555555
[1:00:20] jjggydjk: ลุงดู34ขอนินโจ้ยังครับ
[1:00:20] layil_: รถในฝันของผชเลยครับ
[1:00:20] Apologizezi: 555555555555
[1:00:20] 01010000xxw: 55555555
[1:00:21] spookkyb: 555555
[1:00:21] xdolph1n_: หูๆๆ 55555555
[1:00:22] khinglikeyme: 5555555
[1:00:22] nest_warit: 5555
[1:00:23] dech_555: มะกี้ๆ
[1:00:23] xp___px: 55555555555555
[1:00:23] purple_moon_iusupczz: 555
[1:00:23] kanbxbx: 5555555555
[1:00:23] phi_tz: 555555555555
[1:00:23] DY_ANUCHIT: 555555
[1:00:23] dearknc: 555555555
[1:00:23] Dew_VCR: 555555555555ฃ
[1:00:23] guarm420: 5555
[1:00:23] IceSaDit: @peerapat_ จริงครับ ถ้าไม่โปรงใส โดนดำเนินคดีแน่นอน แถมยังถูก เสียงเลือกตั้งโจมตีด้วย
[1:00:23] ddream47: 5555555
[1:00:23] maiiiiiiiiiiiiii_: 55555555
[1:00:23] dekwenkitar: ถ้าไม่ดูลุงก็ไม่รู้จักอะ555
[1:00:23] film_got: 555555
[1:00:23] apiwat_pal3: 5555
[1:00:24] beam_13114: 55555555555555555
[1:00:24] TwinshockEz: 55555555555555
[1:00:24] mixturez007: ซิง
[1:00:24] mac2266: ไอดลข้างบนลุงดู
[1:00:24] loshahaha: ซิง
[1:00:24] frang5678: 555555555555
[1:00:24] nipon_12: rebirthztvNice
[1:00:24] dew_yodsakon: 5555
[1:00:25] krisana_heinzz: 5555
[1:00:25] zackzzs: 5555
[1:00:25] nuttphat_dream: 555555
[1:00:25] jayk00k: 55555
[1:00:25] sensezf: สาวไม่กรี๊ด แต่ผช กรีด
[1:00:25] ammy4599: 55555555
[1:00:25] 3sofree: 5555555
[1:00:26] saranphat1078: 555555
[1:00:26] nathan_qnx: 555555555
[1:00:26] title_pannatat: 5555555
[1:00:26] J0w_GreeN: 34น้ำเงินเท่จิง
[1:00:27] downton010: สาวจะบอกว่ารถเก่าไงลุง
[1:00:28] pkklegacy101: สาวด่าเอาด้วย
[1:00:28] nxeyy__: 555555
[1:00:28] ToysX3_live: ถถถถถถถถถถถถถถถถถถถ
[1:00:28] goeza_007: 555555555
[1:00:29] armmaow: 5555555555555
[1:00:29] chanza00: โคตรครั้ง555
[1:00:29] shibuya1598: 55555555
[1:00:29] teeraphat9452: Rx7
[1:00:29] isbye0l: 55555
[1:00:30] kiktipop: 5555
[1:00:30] joyboy_2002: อารมประมานนี้
[1:00:30] Ojessor: อะไรขนาดนั้นวะหน่ะ
[1:00:30] xAsakura_: 555555
[1:00:30] khawoat_srp: หูกููู
[1:00:30] willwhyme: อาการตอนลุงเห็นรถแน่นอน
[1:00:30] Hua_Hom_: 555555
[1:00:30] 0m0mk: เห็นป๋าโจลงอยู่R34อะลุง
[1:00:31] Dawineiei: อาการประมาณนี้กันหมด
[1:00:31] cox2nutz: 5555555555
[1:00:31] junior_heaven: 555555
[1:00:32] middleonelive: ผช กรี๊ด
[1:00:32] takachi_tamada: หูแตก
[1:00:32] guitarkubbb: 55555555
[1:00:32] jaoyiss_tv: ดูข้างบนๆๆ
[1:00:32] suphachaijanta: 555555555555
[1:00:32] ogiV_: ดูคลิปแรกๆ อย่างฮา
[1:00:32] dow2546: 55555555555555555
[1:00:33] yee_hipster: เห็น 34 คิดถึงไบรอัน โอ คอนเนอร์ตลอดเลยว่ะ 😓
[1:00:33] palmmyxa: คลั่ง
[1:00:33] fourdogz55: 5555555
[1:00:33] kskoranis: ท้ายrx
[1:00:33] boymg00: ไม่ต่างกัน555
[1:00:34] meaningless_12: 5555555
[1:00:34] Sunny_______: คลั่งเลย 55555
[1:00:34] dewdiw_: กริ๊ด
[1:00:34] zsasztv9: 555555555555555555
[1:00:34] not00122za: ของป๋าโจอะสวย
