[0:00:23] benz_2000: SeemsGood <3
[0:00:27] blackz_skyz: VoHiYo
[0:00:29] chatuphong_2007: ดีค้าบ
[0:00:29] rachapr8: <3
[0:00:29] kittisak52: ดีคับ
[0:00:30] dopyaeiei: ดีครับ
[0:00:32] besttt0: หวัดดีครับ
[0:00:33] toonzsza: สวัสดีค้าบลุง
[0:00:37] HarryPottereiei: สวัสดีครับ
[0:00:38] tantantan0821965006: สวัสดีคับ
[0:00:39] do__nat: ลุง ดีค้าบบบบ
[0:00:42] chakkpan_: สวัสดีลุง
[0:00:43] knewmmo: สวัสดีฮ๊าบบ
[0:00:49] film_1214: สวัสดีครับบบ
[0:00:50] tata_tawan: amndtwHi amndtwHi
[0:00:53] swrt007: ดีอะ
[0:00:55] Zixgar77: dkub
[0:00:56] Nightbot: Subscribe ได้ที่ลิ้งนี้https://www.twitch.tv/products/rebirthztv/ticket?ref=below_video_subscribe_button
[0:00:57] Alexgodsniper: ResidentSleeper ResidentSleeper
[0:01:01] phiraphat3: หวัดดีครับลุง
[0:01:01] rbzax: ดีคับ
[0:01:01] zuwobu: ดีฮะ
[0:01:03] mai111222: ดีค้าบบบ
[0:01:04] fx_anuchit: สู้ๆครับลุง
[0:01:07] prsaw86: l;lyfu8jkkkk
[0:01:09] nongply111: ดีคับลุง
[0:01:12] bi_kabb: ดีครับบบช่วงนี้มาเร็ว
[0:01:15] bellll_07: ดีครับ
[0:01:17] phanthiwaaa: ดีงับลุงง
[0:01:18] ashita5245: ดีครับ
[0:01:18] sundy_12345: ดีครับ
[0:01:19] Doraemon0299g: ดีค้าบ
[0:01:20] prsaw86: สวัสดีค่าาาาาาาาา
[0:01:21] BoyHowl: rebirthztvRun rebirthztvRun rebirthztvRun rebirthztvRun
[0:01:24] knoteyy: notkub3346 subscribed at Tier 1. They've subscribed for 3 months, currently on a 2 month streak! 
[0:01:25] nongply111: วันนี้สู้ๆนะคับ
[0:01:25] serphirothz1: ดีครับลุงงง
[0:01:25] A1AN_ALLEN: mosquito0o0 subscribed at Tier 1. They've subscribed for 5 months! 
[0:01:26] weerakhai: สวัสดีครับ
[0:01:28] aiambaam: ดีค่า
[0:01:28] 69wind43: สวัสดีคับ
[0:01:29] slot_cr: rebirthztvDrift
[0:01:29] titlesasa: สวัสดีสวีดัส
[0:01:36] iam_mosssss: rebirthztvITA rebirthztvITA rebirthztvITA
[0:01:37] ochikrup: rebirthztvLoveสวัดดีครับ
[0:01:37] weerapol_kerdwichai: ดีคับลุง
[0:01:37] TenglyCH: หวัดดีค้าบ
[0:01:38] takachi_tamada: ดีครับ
[0:01:38] winsavex: ดีค่าบบ
[0:01:38] earth_678: ดีครับลุงง
[0:01:39] PCRP_GUS: !timeup
[0:01:39] wanchana_z: สวัสดีครับพี่เอส
[0:01:41] Methe_Mas: ดีครับลุง
[0:01:43] k_kam1234: ลุงงง
[0:01:43] sawut1: ดีน้าบบบบบ
[0:01:43] art_wiraphat: สวัสดีครับ
[0:01:43] Poramet70: ดีครับ
[0:01:46] FatanFanta: ดีครับลุง
[0:01:47] passawut1: สวัดดีครับ
[0:01:48] tanapoompee: สวัดดีค้าบตร.อม็ค
[0:01:48] martinnicora: ทำไมผมมันไม่เเจ้ง
[0:01:49] nk_hades77: ดีคัาบบ
[0:01:50] pongnarintv: ดีค้าบพี่เอส
[0:01:50] pcharaaa: ลุงงง
[0:01:50] mooslize: rebirthztvDrift
[0:01:51] sunch123: สวัดดีค้าบบ
[0:01:52] luffysafz: D kubb
[0:01:52] non_ccc910: สุด
[0:01:52] lilgoneiei: ResidentSleeper
[0:01:53] qwertyuiophkknmkj: ลุงหวีดดีคับ
[0:01:53] ger1432: มา
[0:01:53] nongchill18: สวัสดครับลุง
[0:01:54] brainyz_tv: ดีน้าบบบบบบบ
[0:01:54] thanapum211: ดีครับลุง
[0:01:55] NornightX: ดีคับ
[0:01:56] Zixgar77: dkub
[0:01:56] bestx200: <3
[0:01:57] k_kam1234: มาไวจัดเลยลุง
[0:01:57] poobadin147: มา
[0:01:57] ripinde: มา
[0:01:58] dream_dayz: ดีค้าบ
[0:01:58] handzxvil: ดีครับ
[0:01:59] awkgg1: ดีค้าบ
[0:01:59] F_Fishs: ดีครับ
[0:01:59] tumo007: เข้
[0:02:00] immy_kun: สวัสดีค้าบบบ
[0:02:00] tumme254: dkup
[0:02:00] labnua: Dครับลุง
[0:02:00] stargetsir: ดีค่าบบ
[0:02:01] chalermday: สวัสดีครับพี่เอส
[0:02:01] Lapiis1: ดีครับ
[0:02:01] spslxkxmjdkekd: deeekub
[0:02:01] peerapatthongrak3: ดีคับ
[0:02:02] h3llomababe: rebirthztvJak rebirthztvLove
[0:02:02] prh2558: สวัสดีครับลุงงงง
[0:02:03] benjawan_n: ดีค้า
[0:02:03] itsozakaa: มาเร็วแปลกๆ
[0:02:04] ba_furu: สวัสดีครับ
[0:02:04] fream_13: ดีค้าบบบ
[0:02:04] nk_hades77: สวัสดีค้าบขุนลุง
[0:02:05] P_00_M: ดีค้าบบบ
[0:02:06] Jallcj: Dkup
[0:02:06] biwch007: ดีค้าบบบบ
[0:02:06] flook_131: ดีครับบบบ
[0:02:06] imjeena: ดีครับบ
[0:02:06] bugpop08: rebirthztvTadaeng rebirthztvX
[0:02:07] prem03xs: มาแล้ววว
[0:02:07] papangkronnew: ดีค้าบลุง
[0:02:07] Gu_GuidE: ดีครับลุง
