[0:00:10] fiwterter1: <3 <3
[0:00:15] geniusneverdies: d kub
[0:00:17] fewx_x: ดีครับลุงฃ
[0:00:21] TenglyCH: ดีค้าบ
[0:00:23] downton010: ดีครับ
[0:00:23] jesada007: มาเเว้วว
[0:00:28] aleister_07: ดีค้าบ
[0:00:30] laxus_pup: มาแล้ว
[0:00:31] pongphon_19: ดีครับลุง
[0:00:32] boy333222111: ดีครับลุง
[0:00:32] ytshvxuvai137: โคตรตึงโคตรอันตราย
[0:00:33] Ramita555_: ดีค้าบ
[0:00:35] kanchanok_23: ดีค้าบบบ
[0:00:36] edward898: d kub
[0:00:36] jaythz: l;lfu8iy[[[
[0:00:37] gea3322: ดีค้าบบบ
[0:00:38] yoki_555: ดีค่าบบ
[0:00:38] thanaphat119: ดีครับ
[0:00:39] thatchai07: ดีครับ
[0:00:39] non_1104: ดีวะบ
[0:00:40] android_owen: ดีครับ
[0:00:40] dagoma555: ดีค๊าบบบบ
[0:00:40] palmchitipat: ดีค้าบพี่
[0:00:40] i_______han_______07: ดีคับ
[0:00:41] sing4800: ดีค่าบบบ
[0:00:42] thanaphaz1: ดีค้าบบบ
[0:00:43] nuuttyy77: ดีครับ
[0:00:44] chaemp555: ดีค้าบบพี่เอสส
[0:00:44] tle_16: ดีค้าบบบบบ
[0:00:45] mmorpg1254: ดีค้าบ
[0:00:45] WinzBusy: amndtwDark amndtwDark
[0:00:46] tonlnwza07: ดีคับบ
[0:00:46] drcvjjjknnhycb: ดีค้าบ
[0:00:46] aumzaa555: ดีคับ
[0:00:47] pair_15: สวัสดีคร้าบ
[0:00:47] nattpoa: ดีครับ
[0:00:47] guyzazazezezrzr: hi
[0:00:48] tanavich03: มาซะแล้ว
[0:00:48] k2_arm: ดีต้าบ
[0:00:49] phiraphat3: ดีค้าบบบ
[0:00:49] supharat_jd: ดีง๊าบบ
[0:00:49] tiwcoi_tiw: ดีคับบบ
[0:00:52] hudkung: ดีครับพี่เอส
[0:00:53] Nightbot: Subscribe ได้ที่ลิ้งนี้https://www.twitch.tv/products/rebirthztv/ticket?ref=below_video_subscribe_button
[0:00:53] naengn: ดีครับ
[0:00:54] do__nat: ลุงงงงงงง ดีครับ
[0:00:54] lee98888: rebirthztvPlease rebirthztvPlease
[0:00:56] dark_nightTV: ดีคับ
[0:00:56] coach_in_black: มาแล้วโครตคิดถึง
[0:00:57] zhamasz: สวัสดีคับลุง
[0:00:57] JeFF_Fe: ดีฮาป
[0:00:57] supakitjaja: ดีคับ
[0:00:57] Tamagoduse: ดีครับ
[0:00:59] kasidit_2007: หวัดดีค้าบบบ
[0:00:59] monton01: ดีครับ
[0:00:59] slip_z: slip_z subscribed at Tier 1. They've subscribed for 6 months! 
[0:01:00] titan_191: ดีครับ
[0:01:00] tiwakorn_jr: หวัดดีง้าบบบบบ
[0:01:01] ammy4599: หวัดดีค่ะลุง
[0:01:03] ktmjulo_ty: ดีครับ
[0:01:04] ApaJaHeyy: คิดถึงที่ซู้ดดดด
[0:01:05] thogdhs_061: ดีคับ
[0:01:06] Latte_x47: ดีค้าบ
[0:01:06] DOME_GG: หวัดดีครับ
[0:01:06] peegreenturtle: สวัสดีค้าบ
[0:01:07] ONGARDz: มาเเล้วววว
[0:01:08] aomsin_21: สวัสดีครับ
[0:01:08] khanaphot_28: อยากให้ลุงติดคริจังเลยครับ555
[0:01:08] kaognag001: dkup
[0:01:09] katikarn: ดีคับลุง
[0:01:09] SUNN_RRR: หวัดดีครับ
[0:01:10] thailan123456789: โดนใบปะเนี้ยไม่ใช้ชุดเเก็ง
[0:01:10] kkkuma_: สวัสดีครับพี่แมค
[0:01:10] duekkdj: ดีง้าบบบบบ
[0:01:11] Kaibashibuya_: ดีคับ
[0:01:11] imdreamhight: ดีคราฟ
[0:01:11] kimkevln: ดีค้าบ
[0:01:11] peeradol07: ดีครับ
[0:01:12] joke_rigid: ดีค้าบ
[0:01:12] jengeiei258: ดีครับ
[0:01:12] ezyoktv007: สวัสดีครับ
[0:01:14] jamenakup100346: ดีน้าบ
[0:01:15] pimsty_: ดีค่าคุณลุง rebirthztvLove rebirthztvLove
[0:01:15] penguintvv: ดีครับ
[0:01:15] basza1150zaza: ดีครับลุง
[0:01:15] misspuen: เีครับบ
[0:01:15] gameplaykub: ดีครับ
[0:01:16] thanathep69: ดีครับพี่ชาย
[0:01:16] ba_ball: ดีครับลุง
[0:01:16] k_kingsman: ดีค้าบบบบ
[0:01:16] kong2502: ดีฮะ
[0:01:17] mod093: ดีค้าบบุง
[0:01:17] hibari1412: วัยรุ่นจัดชุดด
[0:01:17] panart89: ดีค้าบบจุนนลุง
[0:01:17] xtimmy_999: ดีครับ
[0:01:17] the_mxxn: ดีคับ
[0:01:17] MasterKhaew: เฟี้ยวครับ
[0:01:18] rbzax: ดีคั
[0:01:18] hdhdbchsksldn: ดีค้าบบบบบบบ
[0:01:18] tan0506: SeemsGood SeemsGood
[0:01:18] songbadsadboiT_T: ละลุงมา
[0:01:18] saorayutptoon: ดีค้าบ
[0:01:18] XNIGHTz_2007: ดีครับ
[0:01:19] KANAKORN_34: ดีครับลุง
[0:01:19] aphinun1712: ดีค้าบพี่
[0:01:20] film1112cc: ลุงดีค้าบบบบบ
[0:01:20] nopphadon_o_: ดีครับลุง
[0:01:20] sunji_6: ดีครับ
[0:01:20] sakamachis: LUL
[0:01:21] Blue__007: หวัดดีครับ
[0:01:21] bam_271152: ดีคับลุง
[0:01:21] food________________: 1
[0:01:21] jetsada1799: ดีค้าบบ
[0:01:21] leopoldi_: ดีครับ
[0:01:21] moonwo7: ดีครับ
[0:01:21] nutza1599: หวาดดีครับบบยยลุงงงงงง
[0:01:21] pluemp_x: 1
[0:01:21] jimmy_007374: สวัสดีครับลุง
[0:01:21] nusagame: สวัสดีค่ะ วันนี้มาเเน้ววว
[0:01:22] towkub: สวัสดีน้าบบบ
[0:01:23] intrude99: ดีครับ
[0:01:23] vooiizx123: สวัสดีคับลุง
[0:01:23] anuchitxx: หวัดดีครับ
[0:01:23] 0611474740: ดีคับ
