[0:00:10] DORS0N: ดีตนีลพี่ลุง
[0:00:18] taflukc2: !uptime
[0:00:19] malin_n1: ดีค้าบ
[0:00:19] panupongtk: DarkKnight
[0:00:19] tongbahee: ดีค้าบสุดหล่อ
[0:00:21] kaido1222: ดีคับคุณลุง
[0:00:23] Nightbot: Stream uptime 24 seconds
[0:00:23] x_xel1: ดีค้าบ
[0:00:26] SegMenTsdG: ดีครับ
[0:00:26] flashoo7: สวัสดีค้าบ
[0:00:26] markza09i: ดีน้าบคุณลุง
[0:00:26] XinbacK: ดีครับ
[0:00:29] sozxd_0: ดีค้าบลุง
[0:00:30] nuenglool: ดีคับบ
[0:00:30] ponser999: นึกว่าจะไม่มา
[0:00:31] hakipohfs: ดีคั้บ
[0:00:31] jetsada_230450: ย่าฮู้วววว
[0:00:31] amhuakuy_: Dkub
[0:00:32] Arnon4123: ดีครับลุง
[0:00:34] folk11500: คนมีไฟ2022
[0:00:36] sjeuiidu: ดีครับลุง
[0:00:37] supavich182547: D kub
[0:00:37] thaitanium_th: ดีค้าบคุณลุง
[0:00:38] ice3013: ดีครับคุณลุงงงง
[0:00:38] anas_ut: ดีค้าบพี่เอส
[0:00:38] purachet0600: ดีครับ
[0:00:38] wipattanakit547: ดีค้าบบบ
[0:00:38] atikanarm: ..
[0:00:39] kimkim1124: ดีครับ
[0:00:40] sam_jak2002: ดีน้าบลุง
[0:00:40] boat_12345: ดีครับลุง
[0:00:40] slimmao420: ทัวลุงลงมาแล้วววววว
[0:00:41] thossaporn_: ดีคับบบ
[0:00:43] sanji_50: ดีครับ
[0:00:43] thanayutniyantangtv: มีไฟจัด
[0:00:43] ZCyclops_: สวัสดีครับพี่เอส
[0:00:44] khunakhun: ดีครับ
[0:00:44] paemkung0_0: DarkMode
[0:00:45] nmjdk: ดีครับ
[0:00:45] benzlove129: ดีครับ
[0:00:45] shogun6668: ดีครัย
[0:00:45] Player1_TH: <3
[0:00:46] teaanupon: สวัสดีครับ
[0:00:46] ponser999: ดีครับ
[0:00:47] neon_n66: กีคับ
[0:00:47] ryukusenz: หวัดดีครับลุง
[0:00:47] j1mmy_karuther: ดีครับลุงเอส
[0:00:47] kidsana78520: 3
[0:00:48] MILLSosad: ดีครับ
[0:00:48] benjawan_n: ดีค้า
[0:00:49] SegMenTsdG: คนมีไฟ GlitchLit GlitchLit
[0:00:49] airinz_tx: มาลิ้ววววว
[0:00:49] whan_56: ดีน้าบจุนลุง
[0:00:53] thanayutniyantangtv: ดีค้าบพี่เอส
[0:00:53] sleepless_18: ดีครับพี่เอส
[0:00:53] firstmakubb: ดีคั๊บบบ
[0:00:53] high9927: ดีค้าบ
[0:00:53] sfgdd6745: สวัสดีคับลุง
[0:00:54] atsadwu: ดีครับ
[0:00:54] Ray_Reagan: ดีครับ
[0:00:54] tongk12: ดีครับลุง
[0:00:55] slimmao420: ทัวลุงลงมาแล้วววว
[0:00:55] mantos112: gumtvxGDja
[0:00:55] san_san_1234: ดีคับ
[0:00:56] peknakup: มาแล้ว
[0:00:57] max5560: ดีคร้าบ
[0:00:57] mreuro17: ดีับ
[0:00:57] psix_akp: Aittipong subscribed at Tier 1. They've subscribed for 5 months! rebirthztvMuay
[0:00:58] snowboll_23: ดีค้าบ
[0:00:58] XIHeREToO: ดีครับ
[0:00:58] kiaxlfh: สวัสดีครับ
[0:00:58] iCE_095760: สวัสดีครับ
[0:00:59] whan_56: คนมีไฟ❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥
[0:01:00] fluk_778888: ดีครับ
[0:01:00] ATMOSXZ_: frankf21Sawaddeeka
[0:01:00] apiwat_07: เอาว่ะๆๆๆๆๆๆ
[0:01:00] godnam2k: gumtvxGDja
[0:01:01] neon_n66: jackey9Slp jackey9Slp
[0:01:01] mimihkh: hello
[0:01:01] monkonami: ดีน้าบ
[0:01:02] Methe_Mas: ดีค้าบบ
[0:01:02] brandonsolam: เย้
[0:01:02] pleum_54: ดีครับ
[0:01:03] DOKMAi7: ดีครับบ
[0:01:03] nongkritt: ดีคับ
[0:01:04] SUPACHAIMANEEKAN: ดีค้าบบบ
[0:01:04] airrynoi: rebirthztvLove rebirthztvLove rebirthztvLove rebirthztvLove rebirthztvLove
[0:01:04] alexkubbb: ดีค้าบลุง
[0:01:04] ArnonxTV: ดีคร้าบ
[0:01:04] hdfh098: หวัดดีค้าบ
[0:01:05] aor_natcha: ลุงมาาาาา
[0:01:05] hafit_x: ดีคับ
[0:01:05] jayz_seven: ดีครับ
[0:01:05] i_______han_______07: ดีคับ
[0:01:05] bebeer25: สวัสดีครับลุง
[0:01:05] kendo_48: ดีคีบลุง
[0:01:06] oatzaa5555: ดีค้าบ
[0:01:06] imjeena: ดีคับลุงงง
[0:01:06] thanakit_0: สวัสดีครับ
[0:01:06] silme555: ดีคับ
[0:01:07] super_nuyy: ดีครับ
[0:01:07] rongdech24: ดีครับลุง
[0:01:07] ice_ttu09: เอาวะ
[0:01:07] DimSuMxT: วันนี้ชุนลุงมา
[0:01:07] AugustTV_Gamer: ดีคับบบ
[0:01:07] chokunccc: ดีครับ
[0:01:07] evawxxi99: ดีครับ
[0:01:08] aomam_asm: ดีงับบบบบ
[0:01:08] YEDKAY: GivePLZ bleedPurple TakeNRG
[0:01:08] samahusamaha: ป๊าาาาาาาา
[0:01:08] kaoja_o: rebirthztvLove rebirthztvLove
[0:01:08] chalitkinnaree: ดีครับ rebirthztvSunn_BW rebirthztvSunn_BW rebirthztvSunn_BW rebirthztvSunn_BW rebirthztvSunn_BW
[0:01:09] diew1912: ดีครับลุง
[0:01:09] bayymee2208: ดีคับบบ
[0:01:09] paysoilaek: หวัดดีคับลุง
[0:01:09] noey9667: คุณลุงงงง
[0:01:09] nutzeeza: ดีคับพี่มาลี
[0:01:10] mukamikung: StinkyGlitch StinkyGlitch
[0:01:10] ggggyyyyaaaa: ดีน้าบบบย
[0:01:10] thanayutniyantangtv: มีไฟจัดอะเดือนนี่
[0:01:10] icesasss2201: หวัดไม่ดีค้าบบบลุง
[0:01:10] Cielskk: ดีค้าบลุงงงง
[0:01:10] setthawut_111: ดีคับ
[0:01:10] legazy2000: ดีครับคุณเอส
[0:01:10] suv9958: ดีครับ
[0:01:11] Fluke_sad: ดีครับบบบบบ
[0:01:12] kim_thanapon: ดีค้าบบบบ
[0:01:12] thanakon33599: DKAB
[0:01:12] iconcrush: ดีหะลุง
[0:01:13] maxmazx: ดีค้าบ
[0:01:13] axrm_zo8: ดีน้าบบลุงงง
[0:01:14] neon_n66: GlitchNRG GlitchNRG
[0:01:14] bebeyro: ดีครับน้า
[0:01:14] YoungYingYaooo: ดีครับลุง
[0:01:15] good134754: ดีค้าบบ
[0:01:15] bungsame: ดีครับ
[0:01:15] pooltvi: สวัสดีครับลุง
[0:01:15] basther77: ดีครับ
[0:01:16] cent2551: ดีค้าบ
[0:01:16] seksan_1997: มาแย้วงับลุง
