[2:30:01] flukeskxs: สวยจริง
[2:30:03] NewLASIOz: ยัง
[2:30:03] Diw_Trd: กี่ล้านครับพี่เอส
[2:30:03] phumiphat_25: จะไปแล้วหรอลุง
[2:30:04] lilj_exe: ยัง
[2:30:04] freestytae: ดูแล้ว
[2:30:04] nnnutthawet: ยังง
[2:30:04] dekyoungthug: ยัง
[2:30:04] rkfhfu: ยัง
[2:30:04] osaka_casava7: ดูแล้ว
[2:30:05] guysupanut42: ดูแล้ว
[2:30:05] biferan: ยัง
[2:30:05] roodbuuu: ยังงง
[2:30:06] nobi_nolove_: ดูแล้ว
[2:30:06] noom0101: ยัง
[2:30:06] kluayro: ยัง
[2:30:07] dixkznvzww828: ดูเเล้ว
[2:30:07] brig_ht3: ยัง
[2:30:08] bambii_44: สวยม๊วกกกกก
[2:30:08] fantasticbkd: ดูแลัว
[2:30:09] purple_moon_iusupczz: ดูแล้วนิ
[2:30:09] narongsak__: ดูแล้ว
[2:30:09] lionwisdom: ยัง
[2:30:09] rocker_x1: ยังค
[2:30:09] ffkkvh: ยัง
[2:30:09] hyperratv: ดแล้ว
[2:30:09] naruto77_ja: ยัง
[2:30:09] nownyuou: ยัง
[2:30:09] my_rorikon: ดูแล้ว
[2:30:10] pleum_modxtyzzz: ยังนะ
[2:30:10] plasinee2: บาย
[2:30:10] seeet_so: ดูเเล้วพอเลยๆๆ
[2:30:10] korawit_16: ดูแล้ว
[2:30:10] patiphan_200x: ดูแล้ว
[2:30:10] Tour_888: ดูปล้ว
[2:30:10] Pluto_mood: ดูแล้ว
[2:30:10] juicezzza: ดูแล้ว
[2:30:11] bom0987: อยากเห็นลุงออกคอนเสิร์ต555
[2:30:11] mxngo1995: 55555
[2:30:11] anntony0: ยัง
[2:30:11] hajamoy2000: ดูแล้ว
[2:30:11] kivd123123: ยัง
[2:30:11] jameszy7565: บา
[2:30:11] tanawat0_zzz: ดูแล้ว
[2:30:11] TIDWCRW_: ดูแล้ว
[2:30:12] thai_makup: ดูแล้ววววว
[2:30:12] newpy_: ดูแล้ว
[2:30:12] arnotvader: ยังๆๆ
[2:30:12] zenai444: ดูแล้วๆ
[2:30:12] Yagjacast: ให้แล้ว
[2:30:12] janangkaan___: ดูละ
[2:30:13] 6ixtynin9_: ดูแล้วไป เซอปิโก้
[2:30:13] fooyak2: ยัง
[2:30:13] bank021145: ดูแล้ว
[2:30:13] chanan123321: ดูเเล้ว
[2:30:13] teeraphat55: ดูแล้ส
[2:30:13] joek200: ดูแล้ววว
[2:30:13] khun_bestx: ดูแล้วค้าบบ
[2:30:13] pookawkan: ดูแล้วววว
[2:30:14] carbonarax06: ดูแล้ว
[2:30:14] TlANN_: ดูแล้ว
[2:30:14] rswer127: ดูแล้ว
[2:30:14] winzxthecxool: ย้ง
[2:30:14] finland0005: ยังครับ
[2:30:15] Babyflukey: ดูแล้ว
[2:30:15] nongmont: ยัง
[2:30:16] jezter_zero: ขอเพลงหน่อยครับ555555
[2:30:16] fonggggggggggg: ดูแล้ว
[2:30:16] goflvkbl: ยัง
[2:30:16] pitchayut2544: ยัง
[2:30:16] wasdwasdxxyz: ขอดูอีกกก
[2:30:16] MingKuB_TH: แล้ว
