[0:00:32] peearpat_420: คิดถึง
[0:00:33] momo_sup: ห้ะ
[0:00:33] liittlepopzz: เอาดี
[0:00:33] maymanmm_00: มา
[0:00:34] m1keykung: ดีครับลุง
[0:00:34] chisa_r: เห้ย
[0:00:34] peww555: เอาดี
[0:00:34] guhjlp: เอาดี
[0:00:35] guptrint2017: ห้ะ
[0:00:35] sitthdet: ห้ะ
[0:00:35] naponpat_: หึ่ยย
[0:00:36] bigsmilerz: ?
[0:00:36] mimihkh: hi
[0:00:36] james_jeak: ดีครับ
[0:00:36] isdig168: โอเค
[0:00:36] NATTHACHAI9659: เข้ลุงมา
[0:00:37] oxypi_888: ห้ะ
[0:00:37] phraruang123: ห่ะ
[0:00:37] nubdaosarocha: เอาดี
[0:00:37] oxoceanoc: StinkyGlitch
[0:00:37] monthong04: สวัสดีค้าบบ
[0:00:37] toptapp: ห่ะ
[0:00:38] kanisorn_mm: เอาดี
[0:00:38] koaweerachat: เอาดี
[0:00:38] poomtanwa: ลุงงงงง
[0:00:38] warapon_2003: เห้ยยยยยยยย
[0:00:38] danmedick: เอาดี
[0:00:39] jackthewinther: ดีครับ
[0:00:39] sarahtaylor_01: เอาดีลุง
[0:00:39] nattapol___0202: ห้ะ
[0:00:39] KaOverdose146: ห้ะ
[0:00:39] anucha2505: คือไร
[0:00:40] B2er1608: มาได้ไง
[0:00:40] itis2002: เอาดี
[0:00:40] bun_phirom: ห้ะ
[0:00:40] zxzwwe: gห้ยดีคับ
[0:00:40] babybigfat: ห่ะ
[0:00:40] sidenevnevy: ลุงมา
[0:00:41] TIGGYDagods: เห้ยๆๆๆๆๆ
[0:00:41] gaammmmm: หวัดดีค้าบบบบ
[0:00:41] callme_babyyy: ลุงงงงง
[0:00:41] phattanaset007: ห้ะ
[0:00:41] kjx69: ลุงงงง
[0:00:41] zxx_z4: เอาดี
[0:00:41] jayjay_ioooi: ห้ะ
[0:00:41] gakqxii_: ห้ะ
[0:00:41] chokanun2550: ห้ะ
[0:00:41] tawanneu: ห้ะเอาดีลุงง
[0:00:41] aoflekslots: ห้ะ
[0:00:41] fairyneedsleep: ห้ะ
[0:00:41] tigher18: ห่ะ
[0:00:41] gamesudyod: ห่ะ
[0:00:41] justfah93: เอ้า
[0:00:42] art_25504: ตาแก่คิดถึงจุงง
[0:00:42] toptapp: เอาจริง
[0:00:42] chayanon_26: เอาดี
[0:00:42] phalo_taweesin: ห๊ะ
[0:00:42] zaazoo12341: ห่ะ
[0:00:42] top_barron: ห่ะ
[0:00:42] pim33_ht: ห้ะ
[0:00:42] sirisak1122: เห้ยยยยยยยยยย
[0:00:42] payzast: ดีค้าบ
[0:00:43] thursday195_: ห้ะ
[0:00:43] dinosoba: ห้ะ งง
[0:00:43] tonklaa_04: เอาดี
[0:00:43] Chitaro_ch: เอาดีๆ
[0:00:43] asras123: เอาดี
[0:00:43] butterpim04: …
[0:00:43] pech349: ห้ะะะะ
[0:00:44] aphxrdite_: ห้ะะะะ
[0:00:44] khunakon_09: ห้ะ
[0:00:44] winthakan18: เอาดี
[0:00:44] puttipong168: ห้ะ
[0:00:44] james_everetXx: เอ้าาา
[0:00:44] dome_zazaza: เอ้าาา
[0:00:44] JJaOHhh: ห้ะะะ ผีหลอก
[0:00:44] snow_maew: ห้ะ ลุงงงง
[0:00:44] SUCHADA2307: เอาดี
[0:00:44] Melody_May19: เอาดีลุงงง
[0:00:44] jirasak0_ml: เห้ยย
[0:00:44] Chagulf: จุนลุงง
[0:00:44] anawat321: เอาดี
[0:00:45] thanapat1156: เอาดี
[0:00:45] icexerxer: หะ
[0:00:45] NighthiN2548: ดีครับ
[0:00:45] JuniorSoitan: เอาดี jackey9JackeyLOL
[0:00:45] FahSkyy_: ห้ะ
[0:00:45] lucifersas: มาได้ไง
[0:00:45] paepockpack_31: เอาดี
[0:00:45] khawfang_020949: จุนลุงนอนไม่หลับหรอ
[0:00:45] yoyoton444: ห้ะะ
[0:00:45] warayut89: ห้ะะ
[0:00:45] Onsupness: ห้ะ
[0:00:46] gamepj46: ห๊ะ
[0:00:46] TAWHAD: ห้ะ
[0:00:46] i_am_wedday: อะไรครับเนี่ย
[0:00:46] gaammmmm: กำลังเหงาเลย
[0:00:46] tontoey__: เอาดี
[0:00:46] waveeeeeetoto: ห่ะ
[0:00:47] tongoo7: ลุงมาแล้ววววววว
[0:00:47] warapon_2003: หู้วววววววววว
[0:00:47] alifjak: เอาดีๆ
[0:00:47] JetAtsada: เอาดี
[0:00:47] chanon_boss: ตาแก่
[0:00:47] theball478: พักลุง
[0:00:47] iceoishii: เอาดี
[0:00:47] amjohn2010: สงัสดีคับมาดึกจัด
[0:00:47] tawanneu: ห้ะะะะะะะะะ
[0:00:47] kantron24: ห้ะ
[0:00:47] kanabe_08: ห้ะ
[0:00:48] aommyhup11: เคร เลยลุง กำลังจินอน rebirthztvNarukeu rebirthztvNarukeu
[0:00:48] forttyy_: เอาดีลุงงงงง
[0:00:48] kay_22468: ห้ะ
[0:00:48] sitthdet: งง
[0:00:48] ppinkblue_: ห๊ะ
[0:00:48] p_munggonn: ดีครับบ
[0:00:49] grglorious: มาเวลานี้มีไร เนี้ยลุง
[0:00:49] legen_dary90: ห๊ะะ
[0:00:49] anucha2505: anucha2505 subscribed at Tier 1. They've subscribed for 14 months! ไม่ฝันไปใช่มั้ย
[0:00:49] bxsry_zr: ห้ะ
[0:00:49] tam_kung_: ห้ะ
[0:00:49] fream_13: เอาดีๆ
[0:00:49] OvEl2DoSe: อิหยังวะ
[0:00:49] friend_nimo: เอาดี
[0:00:49] vict4riesz: เอาดี
[0:00:49] HYDROGENTZ: ห๊ะ
[0:00:49] chocominttttt: ห๊ะะะะ
[0:00:50] bom1989: ละเมอออ
[0:00:50] foucsp47: ห้ะ
[0:00:50] mejxmyjah: ห้ะ
[0:00:50] l3igl3ossnaja: ห้ะะะะะะ
[0:00:50] fewxteep: มาได้ไงเนี่ยยย
[0:00:51] DELANEY_DAY: เอาดีลุงงง
[0:00:51] Tnk_pw: ละบอกจะหยุด
[0:00:51] AUMMMMMMM_: AUMMMMMMM_ subscribed at Tier 1. They've subscribed for 25 months! 
[0:00:51] kitkatlover1s: ลุงงงงงง
[0:00:51] 38_KillzX: งง
[0:00:51] nay_nakub: jackey9JackeyLOL jackey9JackeyLOL
[0:00:51] sarahtaylor_01: มาไงเนี่ยยยยยยย
[0:00:51] dataaaaaa6: มาไงนิ
[0:00:51] 2542CH: WutFace WutFace
[0:00:51] anyaaxe_: ห้ะ
[0:00:52] teerapatsung: เห้ยๆๆๆๆ
[0:00:52] maizembe: เห้ยยยย เอาดี
[0:00:52] naszaza44444444: สวัสดีครับ
[0:00:52] predeterbozo: 55555555
[0:00:52] Tonnam_LT: เอาดีจุนลุงงง
[0:00:52] atthapon9k: มาไงน้อ
[0:00:52] thitikarn10: ห้ะะะะะะ
[0:00:53] idontknow_idontcare: 55555
[0:00:53] napaporn40: ห้ะ
[0:00:53] oilsararat: อ้าวสรุปไม่ได้พักสินะ
[0:00:54] worametwon: ไหนบอกพักกกกก
[0:00:54] valentpz: ห้ะ
[0:00:54] sunny_first: LUL LUL
[0:00:54] khun14152dj: ห้ะ
[0:00:54] nnawaphat: ห้ะ
[0:00:54] thxrd2004: ห้ะะ
[0:00:54] beerthe007: มาไงนิ
[0:00:54] BEERZOi4: เอาดีลุง
[0:00:55] freemoyy: มาแล้วววว
[0:00:55] tar2525: ห๊ะ
[0:00:55] mind_nz1: ห่ะ
[0:00:55] KAPUJJJJ: โอ้โห555555
[0:00:55] justfah93: มาทำอะไรเนี้ยจุนลุงงงง
[0:00:56] pmosza365: 5555
[0:00:56] MADBOY_z: ดีค้าบลุงงงงง
[0:00:56] maymanmm_00: เม้นเเลก
[0:00:56] cemol_: มาแบบนี้ต้องมีอะไรแน่นอน
[0:00:56] JessePinkmannz: หวัดดีงับ
[0:00:57] lilsamemousxi: เอ้า
[0:00:57] frametnk: ดีครับลุง
[0:00:57] kjx69: ลุงงงงมาาาา rebirthztvLove rebirthztvLove rebirthztvLove
[0:00:58] sonram___: 5555
[0:00:58] sarathronngamna: ห๊ะ
[0:00:58] bigsmoke223s: เสียงสะท้อนลุงงง
[0:00:59] backham47: ห้ะ
[0:00:59] hava1301: จุนลุงงง
[0:00:59] phongphat28: ดีครับ
[0:01:00] weddaywithalonex: babyalonex subscribed at Tier 1. They've subscribed for 14 months, currently on a 2 month streak! 
[0:01:00] BG_GuNn_18Plus: StinkyGlitch StinkyGlitch
[0:01:00] G______9: เห้ยยยยย
[0:01:00] ZPICKs: อะไรลุงงง
[0:01:00] SAEGAMECUP: เวลาไม่พอ
