[0:00:27] real_thyme: Kappa
[0:00:29] nutzuki456: ไวจัด
[0:00:30] forgotmacyn: ห้ะ
[0:00:32] Care3ear: มาไวจังลุง
[0:00:32] guptrint2017: เอาดี
[0:00:34] Pondd0710: ห้ะมาไง
[0:00:34] Manenoy: มาไวจัด
[0:00:34] mackkarchan: เช้ามาก
[0:00:34] jaosusu: ห้ะ
[0:00:34] 1_chowder: ห้ะะะ
[0:00:34] thanapon31: เห้ยย ลุงมาไววววว
[0:00:34] lionwisdom: ห้ะ
[0:00:34] shinobust: เกินนน
[0:00:35] premiun01: หะ
[0:00:35] getnat__: เว่อ
[0:00:35] imissyou97: ห๊ะะะ
[0:00:35] benzz2543: ห้ะ
[0:00:35] jk1997_1437: ห้ะ
[0:00:36] Champasp: ห้ะ
[0:00:36] wolfdeww: ไวจิง
[0:00:36] firstyeah1234: เห้ย
[0:00:36] FahSkyy_: ห้ะ
[0:00:36] oxoceanoc: rebirthztvLove
[0:00:36] navavi888: เดียว
[0:00:36] piriyapattp: ห้ะ
[0:00:37] pxbb_l0e: เอาเี
[0:00:37] mosxxxxxx: ไวจังง
[0:00:37] fateglutton: มาไงอ่ะะ
[0:00:37] earocz: ห้ะ
[0:00:37] sommoych: ห้ะ
[0:00:37] banglan_hope: ห้ะๆๆ
[0:00:37] praw275: เอาดี
[0:00:37] nopphadon_9_: ห่ะ
[0:00:37] xp___px: เอาดีดี
[0:00:38] gamekup29: 𝐎𝐤
[0:00:38] engineerp06: ห่ะ
[0:00:38] Binnakub: แปลกๆ
[0:00:38] khunvit: หืมมมมมม
[0:00:38] golf9921: ห้ะ
[0:00:38] deammmmmm111: ห้ะ
[0:00:38] appza5555: วันนี้ไวไปไหม
[0:00:38] koaweerachat: ห้ะๆ
[0:00:39] parnnn9: หะ
[0:00:39] viwsn: จิงดิ
[0:00:39] jejeeiei: ห้ะ
[0:00:39] burtonwem: ห้ะ
[0:00:40] I3uuaon: หะ
[0:00:40] nongtanffg: คุณลุง!!!
[0:00:40] ROSAE96: ดีค้าบบบบลุง rebirthztvLove
[0:00:40] Tonnam_LT: ห๊ะ
[0:00:40] jirawat_kiw: เอาดี
[0:00:40] asiaasil: ไงน้อ
[0:00:40] jojunee: เห้ยลุงง
[0:00:40] Onsupness: ห้ะ555555555
[0:00:40] oxypi_888: เอาดีๆ
[0:00:40] Noteza5012: ห้ะ
[0:00:41] nanny44_: เห้ยยย
[0:00:41] time_line_e: ห้ะ
[0:00:41] alex1ndeq: ห๊ะ
[0:00:41] pattarapolsangdao: เร็วเกิน
[0:00:41] bigdell09: มาไวจ้าดดดดด
[0:00:41] pppawww: ห้ะะะ
[0:00:41] fannarak1975: ห้ะ
[0:00:41] bell_0990: หื้ม
