[0:00:24] poopvoov: ดีครับลุง
[0:00:30] zexsoso: ห้ะ
[0:00:33] YEDKAY: โหหห
[0:00:35] tasave_345: ดีครับ
[0:00:37] abig_55: ห้ะ
[0:00:38] STARiiX_24: เหงา
[0:00:38] gethighh_: .....
[0:00:38] aitupon: D kup
[0:00:39] 001sor: โอเค
[0:00:39] guptrint2017: K
[0:00:39] momo_sup: ห้ะ
[0:00:40] tar12009: เอาละๆ
[0:00:40] xp___px: เค
[0:00:40] bcv_pond: ดีคับ
[0:00:40] atiwitwave: เอาดีลุงงงง
[0:00:40] markvictoria556: ดี
[0:00:41] HarryPottereiei: 5555
[0:00:41] nattaphon_05: ไม่มาพรุังนี้อะ
[0:00:41] omgb1_007: พึ่งตื่นหรอครับลุง555
[0:00:41] KaOverdose146: เอ๋
[0:00:41] koaweerachat: เอาดี
[0:00:42] agyae115: สวัสดีเเก่เเม็ค55
[0:00:42] flukeflipflowfive: สวย
[0:00:42] komkrich98: ดีครับ
[0:00:42] cccgghklmmnv: NotLikeThis NotLikeThis
[0:00:43] sirot144p: โห
[0:00:43] sobenz: ดีคับลุง555555
[0:00:44] panujetski: เอาดี
[0:00:44] tlethanakorn89: พึ่งตื่น
[0:00:44] ejidd: ดี
[0:00:44] tharadolza_001: ห้ะ
[0:00:44] AomXd40m: เอ้า
[0:00:44] nattapon_promson: ห๊ะ.. ?!
[0:00:44] NoBitahub: มาวะะะะ
[0:00:46] sutthipong2: ห้ะ
[0:00:46] armssza: เค
[0:00:46] njrphurichai: รอลุงอยู่เลยครับลุง
[0:00:46] toeyhell: เอาดี
[0:00:46] ihereooooo: เอาดี
[0:00:46] phonepasith_bo: K
[0:00:46] bowvii88: เพื่อไรลุง
[0:00:46] sil4ss: เครรร
[0:00:46] nrm17: ห๊ะะะ
[0:00:47] pondnoiz2543: ดีค้าบลุงงง
[0:00:47] aobza290646: เกินไปนะบางที
[0:00:47] nanxmm: ดีงับ
[0:00:47] ppdfg5566: 5555
[0:00:48] jackey9haert: ดีครับลุงง
[0:00:48] IcezyBlueII: เอาดี
[0:00:48] xzq56: ห้ะ
[0:00:48] polphiram01: เอาดี
[0:00:48] LARGEBODy_GLHF: WutFace
[0:00:49] bagarozz007: ห้ะ
[0:00:49] eeejak1234: เตคคค
[0:00:50] tasave_345: นึกว่าไม่มาซะแล้ว
[0:00:50] YEDKAY: พ่อหนุ่มน้อยมาตอนนี้เลยแนะ
[0:00:51] siggakorn: โห
[0:00:51] stamaing2912: เอาดี
[0:00:51] OverdiveE: โหหหหห
[0:00:51] maxzaa09: โหพี่55
[0:00:51] 0verd0dge: เอาดี
[0:00:51] arm_garak: ลุงละเมอหรอ
[0:00:51] jirawat_kiw: มาไง555
[0:00:52] ROSAE96: มาแล้ววววจุนลุง
[0:00:52] poomin127: ห้ะ
[0:00:52] Diw_Trd: มายังไงก่อน
[0:00:52] pprao: LUL LUL
[0:00:53] tavis124: เอาดี
[0:00:53] imissyou97: ถามจริง
[0:00:54] tiax8: นอนนนนนน
[0:00:54] momo_sup: จะรันเลยไง
[0:00:54] lilsamemousxi: ค้าบบบบบบ
[0:00:55] markvictoria556: งามมาก
[0:00:55] hwanrang: ดีด
[0:00:55] hggggo: ห่ะ
[0:00:56] B2er1608: มายัง/ง
[0:00:57] lionwisdom: มาไงนิ
[0:00:58] ppdfg5566: 55555
[0:00:58] Acketski: เอาดี
[0:00:58] thxenkhun_11: พรุ่งนี้เช้าก็ทัน
[0:00:58] nattakit70: เอาดี
[0:00:58] 9monkev: 9monkev subscribed at Tier 1. They've subscribed for 4 months, currently on a 2 month streak! ดีครับผม
[0:00:59] maxky04op: ห๊ะ
[0:00:59] nbayoungboyy69: ของจริงครับบบบบ
[0:00:59] gehfjyrjfjf: โอเค
[0:00:59] angpao_w: เอาดีๆ
[0:00:59] jynx_66: เอาดี
[0:01:00] njrphurichai: ไม่ต้องขำเลยลุง55555
[0:01:00] djsuyc: SeemsGood SeemsGood SeemsGood SeemsGood SeemsGood SeemsGood SeemsGood
[0:01:00] bank1103_: ห่ะ
[0:01:01] rsj_n7: โอเค ข้ามวันเเล้วสินะคุณลุง5555
[0:01:01] jeerasak200: เอาดีลุง555
