[0:00:10] れれらい: タイトルかわった〜
[0:00:11] phoenix_desu: こん
[0:00:11] tokino8044: こん
[0:00:13] 鈴木3: sasaWave
[0:00:15] yamashitar: だえ
[0:00:32] konkon9011: だえ
[0:00:33] sknwm: こん
[0:00:34] ukkokei3: こんだえ〜
[0:00:34] tokino8044: だえ学校で言ってしまう
[0:00:47] みみまい: いいなー
[0:00:48] shunn777: こん
[0:00:56] Sean_kmsky: 今日こそ資金洗浄できるとええね
[0:01:00] gundora23: やるえー！
[0:01:12] otonashi6209: だえだえだえ〜
[0:01:14] ganototosu05: にょっす🐮✋だえ
[0:01:21] otonashi6209: 鍵高かったえ〜
[0:01:21] tuba2525: おいす
[0:01:41] Boukan_sha_: チャルロスこんばんわ〜
[0:01:42] takenoco: karubisTumerujooo karubisTumerujooo karubisTumerujooo karubisTumerujooo
[0:01:53] tuba2525: 後から高木も来るっぽいじゃん！！
[0:02:01] 狐爪: kyouchDd kyouchDd kyouchDd kyouchDd
[0:02:04] kamunagi1105: 配信ありがとうーーありけん体調気をつけてくれーー
[0:02:13] 狐爪: よお
[0:02:21] kazwackab: レジギガスの日か？ BloodTrail
[0:02:25] ろいどです: DinoDance DinoDance DinoDance DinoDance
[0:02:28] tepapa: ご飯はやくないかえ？
[0:02:34] 海名: こんばんは
[0:02:40] iytreszhii: 面白銀行みてぇよ
[0:02:44] tepapa: グラトニーだえ
[0:02:49] otonashi6209: カレーは何辛だえ？
[0:02:51] レヴィ99: おはよーだえ
[0:02:51] risuzu_00: ぎがぎがふんふん今日はあるかえ？
[0:02:54] aya_s: こん
[0:02:55] user_001fin: 待ってた
[0:03:07] mqcaron7: こん
[0:03:11] ky__h09: こん
[0:03:12] ティーセブン: おもしろ銀行は警察も分かってないとダメだからなｗｗｗ
[0:03:22] ふゆ介: 場繋ぐのクソむずいwww
[0:03:23] ぱぼーんです: こんばんわ
[0:03:30] mezo_zo_: 会話はテキストでとか？
[0:03:30] binzdayo: こん
[0:03:30] たなかいとう: クロさんはやったかえ？
[0:03:40] iytreszhii: それうけんかったとききついでえ
[0:03:42] otonashi6209: 手錠で捕まったら、モンスターボールが揺れる時のピコンピコンかちゃやろうぜ！！
[0:03:44] ぱぼーんです: これグラバトル？
[0:03:44] kazuya1048: 解放条件どないすんの？www
[0:03:47] binzdayo: クロさんもう一回見たい
[0:03:48] エメリ: こんばんちゃー
[0:04:03] たろをまんじ: にょす
[0:04:05] 寺田恋心: おす
[0:04:17] きんきんに: こちゃ
[0:04:30] iytreszhii: 起きてくるタイミングいつもいい
[0:04:31] setunry: こんでぶ
[0:04:32] ふゆ介: 起きて早々だえ
