[0:00:14] ノンデリ: よおおお
[0:00:22] tony_tgr: よお
[0:00:24] kintamasaikyo_sub: よぉ
[0:00:24] sora1673: よお
[0:00:24] つっきー3355: よぉ
[0:00:25] tooo818: こんちは
[0:00:26] kakinootaane: こん
[0:00:27] ネオちー: やあ
[0:00:28] tukue112: よお
[0:00:28] エンドオ: よお
[0:00:28] むつっきー: よぉ
[0:00:29] ryu5ei_: よお
[0:00:29] ネージー: よっす
[0:00:29] benjaming434: よぉ
[0:00:30] TYdaaa: よお
[0:00:30] atsumori_pop: よお
[0:00:31] じゅんぐら: よお
[0:00:33] sakuto3399: 寝すぎだあ
[0:00:34] darumaiku: よお
[0:00:37] 生意気なむーす: よお
[0:00:41] thiru_sudyn: よお
[0:00:41] ななしという名があります: よお
[0:00:45] grimoooooo: かわあい
[0:00:45] むつっきー: おおお
[0:00:46] ゆりかごさん: 今日は一段とボリューミー
[0:00:47] 花﨑2: 花﨑2 subscribed with Prime. They've subscribed for 15 months, currently on a 15 month streak! 
[0:00:47] ネージー: り、どる
[0:00:49] yopikopiko: 今日も観に来たよ
[0:00:51] つっきー3355: おおお
[0:00:51] TYdaaa: ええやん
[0:00:52] soumen0113: やあ
[0:00:54] kattsu_onotataki: よぉ
[0:00:56] nagara_nagara: たっかーよぉー
[0:00:56] vall_64: やっほー
[0:00:57] むつっきー: いいやん
[0:01:01] 非公式お兄さんフニュー: 高木心機一転兵
[0:01:01] つっきー3355: 普通ええやん
[0:01:15] TYdaaa: 服買いに行かなくて良くて楽そう
[0:01:22] iytreszhii: 生地いいん？
[0:01:23] TYdaaa: いいね
[0:01:34] ネオちー: 良いんだ
[0:01:38] むつっきー: あったかい？
[0:01:41] grimoooooo: 更生兵おもろ
[0:01:45] TYdaaa: 画面
[0:01:46] かんぱちくん: ようたかぎ
[0:01:48] 花﨑2: リドルのスウェット間違えてMサイズで頼んじゃって萎えてる
[0:01:49] tooo818: くらい
[0:01:49] grimoooooo: がめーん
[0:01:50] soumen0113: またギャング探そうぜ
[0:01:52] sakuto3399: 画面見えないよお
[0:01:53] むつっきー: まっくらだえ
[0:01:54] つっきー3355: がめん
[0:01:55] zentjatp: 画面
[0:01:55] ネオちー: 高木の思うようにやってるのが見てえよ
[0:02:04] ネオちー: 画面くれ
[0:02:11] mitsuya115: よお
[0:02:17] 0hur0: よぉ
[0:02:18] kaida1219: みえーーん
[0:02:28] オロポン123: やあ
[0:02:33] はりぷ: いいねw
[0:02:34] TYdaaa: 語呂良くて好き
[0:02:36] バイオ太郎: ｗ
[0:02:38] つっきー3355: www
[0:02:39] kattsu_onotataki: www
[0:02:45] TYdaaa: クラフトじゃないか？
[0:02:51] つっきー3355: そういえば服これか
[0:02:56] さかい888: なんでこんなにボロボロなの？
[0:02:58] soumen0113: ギャング探しは？
[0:02:58] masao333: はだしw
[0:02:58] sakuto3399: 銀行は？
[0:03:02] オロポン123: 銀行強盗でも行くか
[0:03:04] むつっきー: まだその頭なのかw
[0:03:09] mitsuya115: 銀行強盗かな
[0:03:12] sakuto3399: 久しぶりに銀行
[0:03:38] kinazoukun: はげ
[0:03:48] iytreszhii: その服でいくなよ
[0:03:53] soumen0113: ハイドの高木
[0:04:11] ネオちー: 頭はどうなんだろ
[0:04:11] sakuto3399: 葉は戻してたけどね
