[0:00:25] meron_w: きた
[0:00:27] fuum0110: こん
[0:00:29] 鈴木3: !pin
[0:00:29] ariken_company: 鳩・鳩反応・指示禁
[0:00:29] kakikame: こん
[0:00:31] ゆのぴか: こん
[0:00:31] ukkokei3: こん
[0:00:32] ろいどです: DinoDance DinoDance
[0:00:33] hachiko0000: こんばんは
[0:00:33] fancy_hippo: こん
[0:00:33] レヴィ99: だえー
[0:00:33] 捲土重来けんど: arikenDaiseikai
[0:00:36] akapen7293: よく寝たね
[0:00:40] ちゃそちゃ: こん
[0:00:40] tetsuchito: こんばんわー
[0:00:41] nagitinn: もす
[0:00:41] shun0628ns: おはようだぇー
[0:00:45] iytreszhii: トパチャリお疲れ〜
[0:00:45] lllogout: まってましたこんばんわ！
[0:00:51] belobelodaaaaaaa: こんえ
[0:00:52] tarakochako: 葉三千発のストグラから来ました！！
[0:00:54] fish76346: こんばんわだぇ
[0:00:54] Kaminagi_TKP: だえ～
[0:00:58] アステリオ: blin born
[0:00:58] fancy_hippo: 昨日はお疲れ
[0:00:58] ai_cha_desu: 相変わらずいい声
[0:01:15] tsubuichigo: こんばんはー！！
[0:01:17] iytreszhii: 大型いけるかあー？
[0:01:17] ロンウィズリー: こん
[0:01:18] ぺんぎん7: こんばんはだぇ
[0:01:19] zlep__: こん
[0:01:23] Boukan_sha_: こん
[0:01:29] ゆのぴか: だえだえ〜
[0:01:29] マンボー大使: 待ってたよ！
[0:01:33] ナマコ魚雷: おいす
[0:01:35] zlep__: いっぱいできるね
[0:01:36] ら民の社畜: ファン太見てた？
[0:01:47] Kaminagi_TKP: ストメンタル見てた
[0:01:49] マンボー大使: チャルおかえり
[0:01:52] league_snow: 今日も頑張るえ〜
[0:01:54] tsubuichigo: お疲れ様だえー
[0:01:56] Boukan_sha_: またとぱチャリ優勝した人また優勝してたえ
[0:01:56] ゆのぴか: げんきだえ〜
[0:01:58] tigersliker1967: こんばんわだぇ！
[0:02:07] gundora23: きたえ～
[0:02:12] 12272006_: こん
[0:02:17] kalaagedaisuki: うおおーだえ
[0:02:23] _るるちゃん: おは！
[0:02:23] zenith_ar: おはようだえ
[0:02:23] ぶたぁー: こんだぇ
[0:02:25] froyt_: チャルのストグラまってたー
[0:02:26] ichisanniiroku: おはようだえーーー
[0:02:33] iytreszhii: ぼ、す
[0:02:38] ichi38_: おはよー！
[0:02:38] gundora23: トパチャリお疲れだえ
[0:02:38] さぴっぴ: タイミングがいいだえ
[0:02:42] zlep__: ぼすどこ？
[0:02:54] iytreszhii: 偉すぎ
[0:03:09] waka919: コンバンワー
[0:03:14] ki_mu86: チャル指定
[0:03:34] マンボー大使: 今回も無双してやるだえ
[0:03:41] レヴィ99: ころもちゃんにカスタムお願いしようとして終わったね
[0:03:58] にーとろる: 待ってましたー
[0:04:02] すぱ: BM洗濯機に突っ込んだまま落ちてたはず
[0:04:06] zlep__: サス変えるって言って終わったのか
[0:04:08] だーすだよ: がんばるえ
[0:04:26] aya_s: こん
[0:04:54] かーくん_: こん〜
[0:05:13] たろをまんじ: がるばるえ
[0:05:13] にーとろる: みこころしたとこやね
[0:05:17] しゅう1017: こん
[0:05:18] gundora23: Dogsたおすえ～
[0:05:19] 玄米ソードマン: こんばんはだえ
[0:05:23] touxxxxxx: グレ気をつけててね
[0:06:08] リーヅモ裏裏: がんばえ〜
[0:06:53] ナマコ魚雷: w
[0:06:54] Kaminagi_TKP: 襲撃ｗ
[0:07:01] gundora23: 殺意高ｗ
[0:07:03] yosivaru: 戦闘狂過ぎるｗ
[0:08:03] gundora23: ダルシムまｗ
[0:08:06] iytreszhii: やめとけw
[0:08:35] とろとろぴく: レリア好きそう
[0:08:48] gundora23: 癖になる
[0:09:56] Kaminagi_TKP: イベント終わりだからいろいろ被りそうではあるけどどうだろ
[0:10:40] gaaahyu: ツイートなかったから気づかなかったぞ！
[0:10:52] nouka5hima: チューブつけてからボンベでつけれますよ
[0:11:03] 海猫だおーん: こん
[0:11:09] こだだあ: こん
[0:11:13] fancy_hippo: その曲ハマりすぎやろw
[0:11:15] 海名: こん
[0:11:27] こたりゅう: こんばんはー
[0:11:36] 狐爪: おいす eavOMEGALUL
[0:11:38] guren1_: チャルロスが寝てる間に逃走中ってイベントあったよ
[0:11:39] gundora23: ほな勝てるなぁ！！
[0:11:43] 寺田恋心: 前みたいに筋肉間違えないように頑張って！！
[0:11:48] mqcaron7: こん
[0:12:10] ichisanniiroku: 那須への絵見たなぁ！うまかった！
[0:12:19] papapapupepon: れりあ歌もうまいし結構多才だえ
[0:12:26] banthi1234: なんて曲だっけ？
[0:12:34] nouka5hima: ばっきま？
[0:12:54] 鈴木3: あ
[0:12:56] gundora23: あ
[0:12:58] しゅう1017: あ
[0:12:58] karumimaguro: あ
[0:12:58] バブみわかりみありけり: お？
[0:13:00] peto303: あ
[0:13:02] KABAYAKIGG: あ
[0:13:03] ぱぼーんです: www
[0:13:06] fancy_hippo: 匂わせ
[0:13:06] gundora23: まっずい
[0:13:14] rcyijninjn: こんー
[0:13:18] iytreszhii: 見せ合いか
