[0:00:29] Ashamix_x: konn
[0:00:30] ロンウィズリー: こん
[0:00:30] 健康な野菜: おっす
[0:00:31] sabachann123456: こん
[0:00:33] takenoco: arikenSEKAI
[0:00:34] sknwm: こん
[0:00:34] レヴィ99: だえー
[0:00:35] fuum0110: こん
[0:00:35] こだだあ: こん
[0:00:39] kin_nic: だえ〜
[0:00:39] 生はむメロンパン: 待ってたぞ
[0:00:40] kakikame: こん
[0:00:42] thiru_sudyn: おはようだえ
[0:00:42] atsumori_pop: おはよう～！
[0:00:53] bloodry: ごきげんだえー
[0:00:57] want_5870: 寝すぎだえ
[0:00:58] しゅう1017: こん
[0:01:00] ukkokei3: だえぇー
[0:01:00] setunry: こんでぶ!!
[0:01:04] れれらい: おはよう
[0:01:05] kalaagedaisuki: 美声だぇ
[0:01:11] o5_oma: おようだえ
[0:01:12] sabachann123456: TwitchConHYPE TwitchConHYPE TwitchConHYPE
[0:01:15] kittankeita: おはようだえ
[0:01:15] kazwackab: コブクロいいね BloodTrail
[0:01:17] aya_s: こん
[0:01:20] takenoco: shakaGorilla
[0:01:22] tomozooooooo: こん
[0:01:24] pyoko_n: こんだえ
[0:01:26] kemamon_: もう眠いw
[0:01:28] nayuta445: ドッカン弾きました？
[0:01:29] kalaagedaisuki: もうday18だえ
[0:01:33] kakerun00: だぇだぇ
[0:01:35] rcyijninjn: 高木にふられたね
[0:01:41] as_desu: w
[0:01:57] kittankeita: 高木はなかなか起きてこないえ
[0:02:16] nayuta445: やっぱり課金しても出ない神ゲーだ！
[0:02:21] 限界コンカフェ嬢: だえ〜
[0:03:49] atsumori_pop: いつ見ても良いなこの車
[0:03:55] amane_s: カッケー車っすね
[0:04:14] megu0418: 凄い滑るね
[0:04:16] rcyijninjn: 家はー？
[0:04:16] レヴィ99: 3トンの車欲しいよなー
[0:04:20] setunry: 3tの車かえ
[0:04:21] KABAYAKIGG: 3トン車見学か
[0:04:29] yossy_island23: イグナスかっこいいのに
[0:04:30] 生はむメロンパン: 家は？
[0:04:39] 5kaede: 買ったばっかなのに欲張りだね
[0:04:39] risuzu_00: こん
[0:04:44] chikuchikukotoba33: だえ〜
[0:04:56] atsumori_pop: 毎回壁紙で笑う
[0:04:57] maron_b_: バイクもお得やね
[0:05:03] want_5870: お
[0:05:11] want_5870: いないんかい
[0:05:18] KABAYAKIGG: w
[0:05:22] アロエ草: アロエ草 subscribed at Tier 1. 
[0:05:34] 半熟めんま: 最近お昼にやってないからあんまり見れてないえー
[0:05:35] マドリディスタ: どこに買うか決まってるんですか？
[0:05:43] rcyijninjn: カジノで金ふやす？
[0:07:10] tokino8044: こん
[0:07:19] KABAYAKIGG: ニトロも積めるからいいよね
[0:07:26] れのだお: それもうフルカス？
[0:07:29] rcyijninjn: 衣ちゃんに見せに行く？
[0:07:45] urijgm: トランスミッションついてる？
[0:07:49] NiteFthr00: サスペンションレベルが下がっていますか？
[0:07:54] レヴィ99: 3ついてるはず
[0:07:57] asahiru21: もう1段階落としても良さそうだけど
[0:08:46] yossy_island23: 空中制御しらない？
[0:09:05] yossy_island23: おしてたんだ
[0:09:12] NiteFthr00: Ctrl と Shift
[0:09:16] kotosidekouiti: エンジンちょっとやばくね？
[0:09:30] SizRyuu: Ctrl^ shift v
[0:09:39] kotosidekouiti: 初見です
[0:10:06] レヴィ99: ニトロ使ったら警察余裕でまけるな
[0:10:14] ya_____m: 運転上手すぎ笑
[0:10:32] kittankeita: オイルリグやるんだえか？
[0:10:51] ソルティー_: あの値段でこのクオリティは良い
[0:11:01] gaaahyu: 15時
[0:11:03] amane_s: 名前が…
[0:11:05] コジローラモ: 名前w
[0:11:08] tokino8044: 名前
[0:11:19] 1nooosee0507: チャルおはよー🫶❤️
[0:11:42] kittankeita: 危ないしん
[0:11:50] レヴィ99: 指名手配中？
[0:11:52] setunry: 指名手配中だっけ?
[0:12:21] kittankeita: オイルリグは出来ないしんね
[0:12:43] learnenglish12345: 名前それでいいの？
[0:12:55] amane_s: むずいやつね
[0:13:09] kittankeita: 飛行機リベンジアツいえ
[0:13:33] yuuuuuummaaa: 高木と葉起きて来んかな
[0:14:05] kakerun00: いったぇｗ
[0:14:10] papapapupepon: 名前がw
[0:14:20] kittankeita: チャルよりも葉と高木が先輩なの信じられないえ
[0:14:22] ソルティー_: www
[0:14:43] assistobake: 声ガラガラｗ
[0:14:52] しぇぱ3: ｗｗｗｗｗ
[0:15:14] mocasann: めずらし
[0:15:19] gaaahyu: イベント中か
[0:15:42] nonono090: チャルロスまってた
[0:15:44] kittankeita: れりあねき
[0:16:59] zlep__: さっき那須無線なんて言ってたの？
[0:17:21] shigechan3rd: 3t
[0:17:45] rcyijninjn: 前の三億の3トンはどれ？
[0:17:47] guren1_: ママ結構車持ってるからのさせてもらえば?
[0:17:48] zlep__: やっぱり3トン見たい
[0:18:00] iruto120: なんかした？
[0:18:03] ロンウィズリー: 愛車
[0:18:06] atsumori_pop: かっけえ...
[0:18:08] hiyokomanjuuuuu: ３トン。デバステだったかな
[0:18:16] setunry: 懐かしいな
[0:18:30] risuzu_00: なつかしいえ
[0:18:34] rinnemu75: 第一回のVCR？
[0:19:12] atsumori_pop: これ重量あるよな
[0:19:15] yossy_island23: 走り屋って感じするな
[0:19:18] nonono090: にしのんに乗せてもらったやつがチャルロスぽいえ
[0:19:18] 12272006_: こん
[0:19:30] megu0418: どんどん欲しいの増えるえ
[0:19:36] awpt321: チャルロスが前欲しいって言ってた車はガチで強いよ
[0:20:00] chikuchikukotoba33: なんやこれ
[0:20:00] nonono090: これだえ
[0:20:08] らんぱ: 天竜人感あるえ
[0:21:04] nonono090: 面白い車いっぱいあるえ
[0:21:09] zlep__: 強い車一台は欲しいよな
[0:21:23] hiyokomanjuuuuu: それ
[0:21:26] レヴィ99: これだ
[0:21:28] yossy_island23: いかつ
[0:21:30] zlep__: これや
[0:21:30] ソルティー_: いいな
[0:21:32] atsumori_pop: いいね～～～～～！！
[0:21:42] rcyijninjn: 曲がりやすそう
[0:21:52] zlep__: 強そう
[0:22:15] shigechan3rd: BMCでカスタムすれば1割引きだえ
[0:22:21] yuuuuuummaaa: ダウンしてないwww
[0:22:23] ichisanniiroku: おはようだえ
[0:23:10] maron_b_: カリンって車見ました？
[0:23:18] nonono090: 車はマジで沼だえ
[0:23:33] らんぱ: カスタムも合わせたら奥深すぎるえ
[0:23:40] yuuuuuummaaa: にしのんになろう
[0:23:41] taiki_freak: 明日明後日テストだーだるすぎ
[0:23:44] megu0418: ｗｗｗｗ
[0:23:46] nonono090: あっ
