[0:00:20] 小太刀00: おはよございます！
[0:00:25] binzdayo: こん
[0:00:25] thiru_sudyn: こん
[0:00:27] みずきな: こん
[0:00:27] しゅらいむ: こん
[0:00:27] tanakeeen: こん
[0:00:28] まろんちゃんこ: こん
[0:00:30] as_desu: こん
[0:00:30] karu__ururu: こん
[0:00:30] rimr__my: こん
[0:00:31] ジヴァ: こん
[0:00:31] らんぱ: こんだえ
[0:00:32] はちだお: こん
[0:00:35] papapapupepon: 早いね
[0:00:35] ukkokei3: 早いこんだえ
[0:00:37] otonashi6209: はやいえー
[0:00:37] aya_s: こん
[0:00:37] レヴィ99: だえー！
[0:00:37] NWANERI: こん
[0:00:38] setunry: こんでぶ!!超早起ききちゃ
[0:00:39] rimr__my: こんでぶー
[0:00:40] want_5870: 早いえ
[0:00:41] touxxxxxx: こん
[0:00:42] sknwm: こん
[0:00:45] gundora23: 早番だえ
[0:00:52] allie2209: こん
[0:00:56] ナマコ魚雷: ナマコ魚雷 subscribed at Tier 1. They've subscribed for 20 months! 
[0:00:58] マンボー大使: おはようだえ
[0:01:02] しぇぱ3: 今日早いな
[0:01:05] tontoro0080: 今日は早いえ
[0:01:06] わさび329: arikenDsk
[0:01:22] shin_misou: めっちゃ元気w
[0:01:25] lupxxn: DinoDance DinoDance
[0:01:26] マンボー大使: wwww
[0:01:29] ナマコ魚雷: テンションw
[0:01:31] gundora23: 元気いっぱい
[0:01:33] hinn_h: hinn_h subscribed with Prime. 
[0:01:33] おちぇんだよ: 元気だえね
[0:01:37] hinata_qdm: こん
[0:01:45] ファンけん: 今日は、早いね？
[0:01:49] 寺田恋心: ゆき、♡
[0:01:49] てふてふですよ: こん
[0:01:55] sabachann123456: こん
[0:02:01] ナマコ魚雷: 車滑りそうやなー
[0:02:19] 生はむメロンパン: ママー
[0:02:20] 方舟ﾉｱ: おじゃ
[0:02:23] エメリ: こんチャル～
[0:02:25] かぷちーのさん: こん
[0:02:38] lllogout: ちゃるこん！
[0:03:05] たろをまんじ: だえ！
[0:03:09] mqcaron7: こん
[0:03:23] Kaminagi_TKP: おはだえ
[0:03:53] shunn777: こん
[0:03:55] レヴィ99: リアル携帯?ww
[0:03:59] たろをまんじ: 個人携帯にメモしたえ
[0:04:02] axis__00: こん
[0:04:05] namiryou: リアル携帯ま？
[0:04:43] rcyijninjn: 今日はやっ！
[0:05:03] ナマコ魚雷: え？w
[0:05:05] エメリ: チャル来ると一気に賑やかになるなー
[0:05:08] megaflame35: あ
[0:05:13] すぱ: こんばんはだえ
[0:05:54] sorasora189: 昨日おうち買えたの？
[0:06:55] みゃみゅみょん: こんばんはー！お邪魔します～
[0:07:36] shion_kei_snow: こんばんは〜
[0:07:42] たろをまんじ: あ
[0:07:44] レヴィ99: ww
[0:07:45] Kaminagi_TKP: 倉庫の出番か
[0:08:04] otonashi6209: 保険で少しずつやるのもまぁありなんか
[0:08:19] たろをまんじ: 冷房つけるえ
[0:08:23] レヴィ99: そこクラフト
[0:08:48] 000peco000: ここはクラフトだえ
[0:08:48] ジヴァ: 薬は、、、
[0:08:57] みゃみゅみょん: ここはクラフトだね
[0:09:03] tepapa: こんにちはだえ
[0:09:13] katuki1029: こんばんは
[0:09:14] ロンウィズリー: こん
[0:09:17] YuNa_rr: こんー
[0:09:19] kazuya1048: 7168
[0:09:22] setunry: 7168とかじゃないっけ
[0:09:26] しろしろくんどっと: 一旦ママ待つか
[0:09:40] みゃみゅみょん: ww
[0:09:50] league_snow: こん
[0:09:52] nayonayo114514: 誰かに聞くぇ・・
[0:10:23] TYdaaa: 薬の精製所ニュースでやってるって変な話だなw
[0:10:39] fox56561: 身体がふかふか？
[0:10:41] すぱ: 精製所はマップに出てないのにヤクの転売人はマップに出てくるのどういう世界なんだろうな
[0:10:51] mini_gori: wwwwwww
[0:11:22] shin_misou: 取れてるwww
[0:11:28] papapapupepon: コワイヨー
[0:12:23] すぱ: マジでクソ元気で面白い
[0:13:04] たろをまんじ: 大型犯罪がんばってー
[0:13:06] 健康な野菜: おっす
[0:13:18] mini_gori: 雪だから景色変わってて思い出しずらいかもねw
[0:14:12] すぱ: 教えてもらってたえwww
[0:14:20] mini_gori: 教わったよねw
[0:14:42] phoenix_desu: こゆ
[0:14:46] phoenix_desu: こん
[0:14:46] レヴィ99: 家近くてよかった
[0:15:07] mikenyan089: バスターコールだぇー
[0:15:42] cheeeeekun: ご近所さんだえ
[0:15:44] obachama_: obachama_ subscribed at Tier 1. They've subscribed for 19 months! 
[0:15:45] papapapupepon: 街中はね
[0:15:52] まじぇすてぃっく: 車を
[0:16:00] user_001fin: チャル久々だえ〜
[0:16:08] mini_gori: 押収される薬の量によってはまじで萎えるえw
[0:16:12] rinnemu75: まぁ警察さっきオルカしかいなかったし大丈夫やろ
[0:16:37] 直生: にげろー
[0:17:40] ぽんちゃんです: ママ頼りになる gocchaLove
[0:17:55] key_umi: 合鍵だ
[0:18:11] atsumori_pop: 同棲！？
[0:18:20] papapapupepon: 女の子に合鍵渡しちゃったえ
[0:18:22] mini_gori: wwwwwww
[0:18:34] ぽんちゃんです: www
[0:18:40] tottocohamu: 幽体離脱
[0:18:40] mikenyan089: 警察の動きわかるえ
[0:18:43] kaniganisamurai: マイクラにこんなバグあったな
[0:18:49] きつねチャンネル: ママの
[0:18:50] ukkokei3: 覗けるえ
[0:18:53] らんぱ: www
[0:18:55] cheeeeekun: ヘリより優秀な索敵やん
[0:18:57] きつねチャンネル: ままの
[0:19:02] らんぱ: おいｗ
[0:19:02] じゃすミン茶: あ
[0:19:02] mini_gori: あ
[0:19:03] くしなだよ: おいwww
[0:19:03] sabachann123456: ww
[0:19:03] atsumori_pop: おいｗｗｗｗｗｗｗｗ
[0:19:03] ぽんちゃんです: あ
[0:19:03] mikenyan089: 白！？
[0:19:03] show_tarosan: あ
[0:19:04] nayonayo114514: ｗｗｗ
[0:19:04] mh_pigman: あ
[0:19:04] amane_s: やると思った
[0:19:05] papapapupepon: おいw
[0:19:06] tennkoh: こら
[0:19:06] karumimaguro: あ
[0:19:07] rinnemu75: これって合法的に覗けるってこと？！
[0:19:07] phoenix_desu: w
[0:19:07] きつねチャンネル: 白！！！！
[0:19:07] amgptwgamt: こいつ
[0:19:07] mini_gori: お前wwwwwww
[0:19:08] yutan30: おっとっと
[0:19:11] まろんちゃんこ: w
[0:19:11] みゃみゅみょん: こらw
[0:19:15] mh_pigman: ありがとう
[0:19:17] マドリディスタ: 覗くなw
[0:19:20] にーとろる: おいパンツみんなw
[0:19:28] リスキーダイス: それで街中に行かないか？
[0:19:28] mikenyan089: 速報 ママは白パン
[0:19:35] ティーセブン: 黒であれよ
[0:19:35] mini_gori: いいね〜
[0:19:47] lottey18: よく平然と会話できるな(笑)
[0:20:01] きつねチャンネル: ちょっとニヤニヤしとったｗｗ
[0:20:31] みゃみゅみょん: さぁチネリましょう！
[0:20:32] 12272006_: こん
[0:20:35] らんぱ: チネりのチャル
[0:20:46] しろしろくんどっと: チネチネ来たーーーー！
[0:21:06] こまりゅう615: スタッシュ置くの高くなかったか？
[0:21:11] cheeeeekun: もう銀行強盗でしょうじと毎回会わなくてすむえー
[0:21:42] amane_s: もうちょい前だすえ
[0:22:01] まじぇすてぃっく: １ランポ1600だえ
[0:22:16] atsumori_pop: https://clips.twitch.tv/GrotesqueCrazyDogeNerfBlueBlaster-fVUwEFEwcDe7hnMx
[0:22:53] 寺田恋心: arikenSaitei
[0:23:07] karumimaguro: themus62RedCard
[0:23:28] マドリディスタ: だからみんな半グレから素材買ってるのかー
[0:24:21] karumimaguro: うわ
[0:24:21] ムー1030: ＋警察もくるとゆう思い
[0:24:23] rinnemu75: み、こだ
[0:24:26] とろとろぴく: くすりつくれぇぇ
[0:24:27] レヴィ99: 犬
[0:24:31] karumimaguro: 犬
[0:24:33] しろしろくんどっと: 花摘んでるときに捕まって0になるリスク考えると、800万で買えるなら安いね
[0:24:40] sigure0113: 花は警察少ない時にやりたいねw
[0:24:49] amane_s: みこだ来るぞ～
[0:25:21] ふゆ介: 一人は危険
[0:25:30] hirata923: チネル方が危なそう
[0:25:35] 半熟めんま: ままー
[0:25:39] kazuya1048: 水入ったままー
[0:25:45] mikenyan089: 1人でちねると衛星が死ぬえ
[0:26:01] ムー1030: みこだｗｗ
[0:26:10] amane_s: やっぱりそうなのか
[0:26:14] マドリディスタ: こうなるとバイクも一台欲しくなる
[0:26:16] guren1_: チネルのはチャルしかできないけど素材集めはバイトでもいい
[0:26:19] toritani_paak: そんな気がしたえ
[0:26:26] mikenyan089: 犬は群れないと何もできない
[0:26:32] ムー1030: 一人でもやるのすごいなｗ
[0:26:40] alimaydayuki: 逮捕されるのも経験だ。みんな捕まってるし
[0:26:43] learnenglish12345: いいね
[0:26:43] ジラフ331: どのギャングもみこだ、なずぴのヘイトが高いの草
[0:26:43] karumimaguro: いいね
[0:26:53] riou18: そういえば3億の車買ったかえ？
[0:26:57] torikaziaki: チネってるとき捕まる大先輩、キャプテンわきをにご指南受けるのだｗ
[0:27:00] karumimaguro: dogsのヘイトw
[0:27:05] ムー1030: なに？
[0:27:07] onann92: そろそろなずぴがきて張られるか
[0:27:15] ふゆ介: 薬捕まるのが1番辛いよな時間かかるしw
[0:27:16] ロンウィズリー: おおおお
[0:27:16] ムー1030: おめでとうだえ
[0:27:20] ちくわ0141: 3億の車買えるえーー
[0:27:20] learnenglish12345: 次は何買うの？
[0:27:21] toritani_paak: でっか
[0:27:21] atsumori_pop: あの最高の瞬間痺れたぜ
[0:27:22] 直生: 痺れたあの勝利は
[0:27:23] 半熟めんま: ギャンブル王！
[0:27:23] Run0808: 金持ちじょん
[0:27:27] みゃみゅみょん: すごっw
[0:27:28] amane_s: バーストしてたのにね
[0:27:32] yossy_island23: チャルロスけん
[0:27:36] ちくわ0141: なるほどだえ
[0:27:37] みゃみゅみょん: バイクは？
[0:27:38] 半熟めんま: お家は買えたの？
[0:27:40] aoyanx: キャバクラで豪遊できるえ
[0:27:40] riou18: ヘリ良いね
[0:27:40] 直生: バイク？
[0:27:42] マンボー大使: でかい
[0:27:45] レヴィ99: ブロガーか
[0:27:47] katuki1029: バイクの方がいいえ
[0:27:48] poteti33: まあヘリ1つはあった方がいいよね
[0:27:48] すぱ: フロガーが3.7億だっけ？
[0:27:54] hirata923: フロガーって3.5億じゃなかった？
[0:27:55] shion_kei_snow: 役割選択肢増えるのいいですね
[0:28:02] zenith_ar: こんばんはだえ
[0:28:03] shigechan3rd: インパウンドされるし車もいくつあってもいいえ
[0:28:03] あすたゆう: チャルのヘリ活躍はやくみたくはある
[0:28:09] ガマトト: せっかくヘリうまいし欲しいよね
[0:28:10] atsumori_pop: ヘリ無双チャルロス！
[0:28:10] 丸かいてちょん: ヘリいいね
[0:28:49] riou18: ヘリで活躍するチャルロス見たいえ
[0:29:10] mini_gori: バレたら…
[0:29:12] ムー1030: そのイベント中に燃えたら終わるえ
[0:29:26] ムー1030: １億イベントテロ罪
[0:29:34] ぺろさんだよ: きいたことがあるな イベント中チネ・・
[0:29:35] binzdayo: あ
[0:29:36] ぺろさんだよ: あ
[0:29:37] mini_gori: あ
[0:29:38] しぇぱ3: あｗ
[0:29:38] zenith_ar: あ
[0:29:43] karumimaguro: あ
[0:29:45] ムー1030: だれでもあるえ
[0:29:47] おじぎ__: あるえ
[0:29:51] 丸かいてちょん: 他の種類がね
[0:29:53] hirata923: 脳死でやるからなー
[0:30:02] ムー1030: 脳死してるときあぶないえ
[0:30:16] 55naagatomo: 雑談しながらでやる人めっちゃいるね
