[0:00:22] orcey1: こんにちは
[0:00:24] tn1558: こんばんわー
[0:00:28] sknwm: こん
[0:00:28] 寺田恋心: きたああ
[0:00:29] ryu23678: こん
[0:00:30] allie2209: こん
[0:00:32] skatees12548665: ばんばんはー
[0:00:32] 新世界66: こん
[0:00:32] パンダぁぁ: こん
[0:00:33] nagarel7: こん
[0:00:34] sakuto3399: 抗争楽しみすぎる
[0:00:34] phoenix_desu: こん
[0:00:35] みらんちゃゃ: こんばんち
[0:00:35] kakinootaane: こん
[0:00:35] shunn777: こん
[0:00:35] mqcaron7: こん
[0:00:35] dorei4443: ひさびさだえー
[0:00:36] zlep__: きたぜーーー
[0:00:37] fuum0110: こん
[0:00:37] シンノ: うおおおおお
[0:00:38] tonyfrankk: こん
[0:00:40] skatees12548665: CRカップ見てます？
[0:00:44] nagarel7: ワイプあり？！
[0:00:46] thiru_sudyn: こん
[0:00:46] 海猫だおーん: こん
[0:00:47] ロンウィズリー: こん
[0:00:48] zoi_ooo: こん
[0:00:49] ciderrr86: こん
[0:00:52] よわおくん: 体調大丈夫？
[0:00:56] otonashi6209: こん
[0:00:57] zlep__: 抗争楽しみだわ！
[0:00:59] かぷちーのさん: こん
[0:01:01] たこでたこ: こんー
[0:01:02] ことみょん: 体調大丈夫？
[0:01:04] ra1nerrrrr: こん
[0:01:06] shin_misou: こん！
[0:01:09] atsumori_pop: チャルロスSAY、復活ッ！！！復活ッ！！！
[0:01:09] kuririnrin: 退院おめでとう
[0:01:11] tsubuichigo: おかえりなさい！
[0:01:12] setunry: こんでぶ!!
[0:01:14] わさび329: チャル起きてきて嬉しい
[0:01:19] binzdayo: こん
[0:01:19] allie2209: 闇のゲームすぎる
[0:01:20] riou18: 知恵熱？
[0:01:21] hane_mitsu: 頭使いすぎたか
[0:01:26] リコ7: 楽しそうんなrust見てた見てたよ
[0:01:27] edkingd: ファン太とぶつかり稽古期待してた😭
[0:01:33] tomozooooooo: おかえりー！
[0:01:36] takuchan12: 待ってました！治って良かった(*^_^*)
[0:01:38] fancy_hippo: キャパオーバー
[0:01:39] ra1nerrrrr: 大丈夫か
[0:01:45] setunry: ただの熱だった?
[0:01:49] shunn777: lol最後の方めっちゃ咳してたもんね
[0:01:58] sakuto3399: 高木って抗争来るのかな
[0:02:04] zlep__: 昨日も天津炒飯？
[0:02:05] iruto120: やったーー！！待ってました！！
[0:02:08] otonashi6209: 何食った？
[0:02:13] aya_s: konn
[0:02:13] haruki05249: きたきたきた
[0:02:24] かぷちーのさん: 抗争めっちゃ面白そう
[0:02:25] チャッピぃ: おかえり
[0:02:28] pentab_1111: よぉ
[0:02:29] setunry: おかえり
[0:02:31] OHKIKOKO: 葉来るかな？
[0:02:39] きんきんに: おかえりー
[0:02:43] リコ7: 頸動脈エコー subscribed with Prime. They've subscribed for 19 months, currently on a 3 month streak! rustも待ってます
[0:02:43] ノーシュ: 楽しみ
[0:02:47] ことみょん: みんな起きてるかな〜
[0:02:49] randall7950: 声がかっこよい
[0:02:51] iruto120: 今日は何があるの？？
[0:02:54] zlep__: メンバー結構来そうやな
[0:02:57] hinn_h: 楽しみに待ってたで
[0:03:02] 12272006_: うす
[0:03:02] クマ11: こん
[0:03:04] レヴィ99: カジノで勝ったぶりか
[0:03:06] ノーシュ: 今日は抗争だよ
[0:03:07] KABAYAKIGG: おかえりーーーー！！！！
[0:03:11] かぷちーのさん: この日を待ってた
[0:03:12] わさび329: 初抗争か
[0:03:13] riou18: 30分じゃなくて30秒で草
[0:03:13] max5583xy: 戦争や！
[0:03:14] iruto120: あーーーー！！
[0:03:19] かーくん_: こん〜
[0:03:24] ソルティー_: おはチャル
[0:03:26] guren1_: ＬＯＬお疲れ様
[0:03:27] ra1nerrrrr: ありけんーーー
[0:03:30] 限界コンカフェ嬢: はろー！ありけん！
[0:03:31] iruto120: 一番面白そう！
[0:03:43] 海猫だおーん: そうや抗争か
[0:03:50] 渋皮豪鬼: しかも 抗争やしw
[0:03:55] しろしろくんどっと: スタンミが無茶苦茶強くてビックリしたわ
[0:04:53] unikun8282: 体調大丈夫？
[0:05:06] kuuhaku12140915: こん
[0:05:11] 半熟めんま: おかえりなさい！よくなったみたいで安心した！
[0:05:12] とろとろぴく: ちゃ
[0:05:17] n_nt0: 画面が、
[0:05:20] ふにゃふにゃっころー: 画面plz
[0:05:32] o5_oma: 画面くらいえ
[0:05:38] クマ11: 何人かは倒したいね
[0:05:42] twmonitor: 体調大丈夫なの！？！？
[0:05:52] mqcaron7: mqcaron7 subscribed with Prime. They've subscribed for 19 months, currently on a 19 month streak! 
[0:05:53] sakuto3399: 新人3人組抗争出れたら熱いなあ
[0:06:03] takuasdf: 熱は治ったの？
[0:06:04] himazinn0: 抗争だー！
[0:06:06] lllogout: ちゃるほんま安心だ
[0:06:08] ソルティー_: インフルだったのw
[0:06:14] kajokajoka: ww
[0:06:17] torinosu_rainy: れつ
[0:06:53] torinosu_rainy: ちょっとサンジ残ってるw
[0:07:03] りる123: お相手のぼすは３９度らしいけどｗ
[0:07:17] sabachann123456: こん
[0:07:18] torataco09: カジノで勝って終わった
[0:07:20] kuuhaku12140915: カジノ？
[0:07:22] ぜうすさぶお: ｗｗｗ
[0:07:23] レヴィ99: 葉に5000万溶かされたね
[0:07:24] atsumori_pop: 一生声マネして終わった
[0:07:26] otonashi6209: ヘリ買うって言って終わった
[0:07:29] ぜうすさぶお: 葉はくるかえ？
[0:07:29] しろしろくんどっと: カジノで5億買ってヘリ買おう！で終わってた気がする
[0:07:47] takamurammmm: インフルbばっかきついんだけどw
[0:08:28] ごりらぁ: 精鋭や
[0:08:32] しぇぱ3: メンツえぐいw
[0:08:40] ぜうすさぶお: ｗｗｗｗ
[0:08:41] ソルティー_: www
[0:08:45] 海猫だおーん: wwww
[0:08:47] 半熟めんま: ミスのるやめてｗｗｗｗｗ
[0:08:50] zenith_ar: www
[0:09:08] ごりらぁ: 初めてレベルじゃないかこのメンツ
[0:09:16] ティーセブン: れりあ、先にシャワー浴びて来なさい
[0:09:22] ぜうすさぶお: 餡集結あつすぎるｗｗ
[0:09:26] ソルティー_: 後輩！？
