[0:00:20] gurin47: こんぎる〜
[0:00:54] なぷるす: guilty38Kon
[0:01:02] siutao_cos: こんぎる
[0:01:38] Nightbot: Twitter:https://twitter.com/R6S_guilty
[0:01:44] kirikrs: おはけいおー
[0:02:04] トレニア: おはよござます
[0:02:06] 褒めらにあん: こんちゃっす
[0:02:27] ku1218: 抑制する！
[0:03:05] ふぁいぴ: ふぁいぴ subscribed with Prime. 
[0:04:32] ギルくん: 出来事や発言はすべてロールプレイで起こったフィクションです! 指示コメ禁止!鳩コメ禁止! 他視点の情報も禁止見かけてもスルーお願いします!
[0:04:54] kanano5281: ピン留めないすー
[0:05:06] swift_horse: 早番おつかれさまです
[0:06:14] miu_rabai_en: こんにちはー
[0:07:15] 天丼の天ぷら抜き: 昨日の大歪み治ったんですね！
[0:07:40] mariQ_mariko: バレンタインのチョコ、キチンと保管してるの可愛い
[0:08:01] kanano5281: 機械だから？
[0:08:02] miu_rabai_en: マメなケイン
[0:08:04] しののめかなた: ロボットなのに人間味がｗ
[0:08:11] kanano5281: もったいないんだよw
[0:08:22] よくすい: あら~~~
[0:09:04] kanano5281: 人間味ありすぎるなぁw
[0:09:11] kirikrs: ギルくんってエリクサーとか最後まで温存してそのまま残してそう
[0:09:12] オカンでも配信見るんや: かわいいw
[0:09:32] 褒めらにあん: 人間らしいロボットだぁ
[0:09:50] yuka_336: w
[0:10:15] kanano5281: なんでだー？
[0:10:29] yuka_336: 草
[0:10:49] swift_horse: 昨日歪みあったから市長か補佐が先に入ったのかな？
[0:11:10] 에프킬라ㅏㅏ: guilty38Kon guilty38Kon
[0:12:40] kirikrs: ランポで素材集めしてる姿が懐かしく感じる…
[0:13:51] miu_rabai_en: ww
[0:13:54] kanano5281: めっちゃかっこいいの作ろう
[0:14:41] kanano5281: おまわりさん？？w
[0:18:20] hato_sss: アイファク
[0:18:38] tani__chan: あいふぁくやっぱ重い
[0:19:16] kirikrs: 素材置く用の家は倉庫っていうんよ…
[0:19:23] kanano5281: 場所に寄るけど買えそう！
[0:22:25] はっこ310: guilty38Kon
[0:23:08] kanano5281: メ、カニック
[0:23:29] はっこ310: ワンオペメカニックの悪夢が
[0:25:11] のどごし悪男: ケインオーくんのそれは全裸ではないんだ
[0:25:25] はっこ310: 何やこれ最高や
[0:25:34] オカンでも配信見るんや: wwww
[0:26:12] はっこ310: セクハラ罪はあるけど公然わいせつとかは無いからセーフ
[0:28:27] はっこ310: まさかのフレア業者
[0:29:16] kirikrs: みんな集まってて草
[0:31:44] Nightbot: Twitter:https://twitter.com/R6S_guilty
[0:32:04] はっこ310: 魂がファームを求めてる
[0:32:08] 火継: 拾うのも楽しめるのいいね！
[0:32:09] kanano5281: ファーミングロボット
[0:35:16] はっこ310: ダクトテープはあればあるだけ嬉しい
[0:35:40] 火継: ダクトテープなんぼあってもええですからね
[0:35:44] はっこ310: ワザマエ
[0:36:19] kanano5281: あまりの重さ（魂貫通してきたww
[0:37:32] はっこ310: 色んな意味でヘビーだ
[0:39:22] はっこ310: とは言え布は他にも色々使うからそっちもきつそう
[0:39:39] kirikrs: ギルくんの今の収入源って警察以外にない…？
[0:39:52] はっこ310: 副業探すか
[0:41:06] ロジーー: こんばんわ
[0:41:55] ロジーー: 最近クラフトしてなかったからその反動きたか
[0:42:19] ロジーー: クラフトしてケインを強化すると
[0:43:02] ロジーー: ８０％の弱点ｗ
[0:44:18] ロジーー: ぶいすぽのキーボードで解決
[0:44:26] よくすい: ん？
[0:44:50] ロジーー: 私はテンキーレス
[0:45:22] ロジーー: escort
[0:45:28] 火継: 市長からテレパシーがｗ
[0:46:17] ロジーー: へぇ
