[0:00:52] ぱすたっ: 早起きえらいだ
[0:00:54] 에프킬라ㅏㅏ: ｵﾊﾝﾖ
[0:00:57] namiryou: おはようございます
[0:01:03] のどごし悪男: おはようございます
[0:01:11] ajmp254: おはよう～
[0:01:34] はーちゃん410: guilty38Kon
[0:01:36] 에프킬라ㅏㅏ: 今月でなくなるからつかうわ
[0:01:44] 卵がけチキンライス: ｺﾝｷﾞﾙｰ
[0:02:05] 에프킬라ㅏㅏ: 早起きえらい
[0:02:13] のどごし悪男: 全裸でゴミ拾いですか
[0:02:32] From774: こんぎる
[0:05:30] ふぁいぴ: guilty38Kon
[0:05:34] はーちゃん410: こねこねタイム
[0:06:57] はーちゃん410: リサセン拠点？
[0:08:46] はーちゃん410: 不動産屋さんが起きてくるの待ちやね
[0:09:26] にこにここ: こんにちは
[0:09:38] はっこ310: バレンタインの現実から目が覚めてない警察もいます
[0:11:17] にこにここ: クラフト頑張ってますね〜！
[0:11:48] はっこ310: ガソリンが
[0:11:52] はーちゃん410: ガソリンピンチw
[0:11:58] kakitama8810: こんにちわー
[0:12:18] はーちゃん410: 確かに
[0:12:35] はっこ310: 高速のど真ん中でガソリン減ってるのに気づいた時の絶望感よ
[0:12:36] kirikrs: おはけいんおー
[0:13:22] kakitama8810: 警察ってファーム必要なんですか？
[0:13:50] ｶﾝﾅ: ファーム見るの好きだから助かる
[0:13:51] kakitama8810: 趣味でファーム凄いっすねw
[0:13:55] kirikrs: なんでギルくんはおうち持ってないんですか？
[0:14:11] はーちゃん410: どんなとこでもファーマーだな
[0:14:52] にこにここ: 白市民パスで安く買える？？
[0:15:28] miu_rabai_en: こんぎるおはけいんおー
[0:15:29] はっこ310: 数少ない白市民パスの使い所
[0:15:56] はーちゃん410: www
[0:16:12] はっこ310: ドヤ顔白市民パスｗ
[0:16:38] はーちゃん410: 近くは人気そうだね
[0:17:48] にこにここ: 買えるのでは？？
[0:18:00] 白雨0216: （不動産屋さんに相談するのが絶対速いと思われます）
[0:18:14] ヴァル94: 買うなら無料で駐車場つけれる所が良さそう
[0:18:28] はーちゃん410: 何箇所目星つけて不動産屋さんに聞く方がはやそうではあるもんね
[0:18:56] にこにここ: お
[0:19:09] kirikrs: 聞き覚えある音が聞こえたと思ったらギルくんちの呼び鈴か
[0:19:42] yat2244: 将来的に工場になりそう
[0:21:02] 白雨0216: （車のガレージ間移動が無くなってから、爆発的に不動産は買われてるはずなので、目星を付けるのも予算の相談をするのも、早め早めをお勧めしておきます）
[0:22:30] kirikrs: 長いなw
[0:22:33] kamoperry: @白雨0216 鳩指示コメやめなぁ？
[0:22:48] はーちゃん410: おかえり
[0:22:57] kirikrs: おかけいんおー
[0:22:58] weygw_: ﾋﾟﾝﾎﾟｰﾝ
[0:23:08] にこにここ: おかえりなさいー
[0:23:55] 白雨0216: 指示コメに該当するのですね。申し訳ありません。以降気をつけます。
[0:24:24] はっこ310: しっかり買われてる
[0:24:43] ぼさつもんじゅ: ww
[0:24:43] はーちゃん410: www
[0:24:45] mol_guri: www
[0:24:46] weygw_: 銀行で働くか
[0:24:46] うしげん: パレトだw
[0:24:49] ｶﾝﾅ: www
[0:24:54] ラシ: ｗｗｗ
[0:24:54] ふぁいぴ: ｗｗｗ
[0:24:57] はーちゃん410: 銀行に住むのは猛者すぎるwww
[0:25:00] にこにここ: wwwww
[0:25:02] くらげるん: ｗｗｗ
[0:25:15] kirikrs: 銀行を買って経営するのもわんちゃん…
[0:25:45] khulaine: wwww
[0:25:45] はーちゃん410: まぁみんな考えることは一緒よねwww
[0:26:10] はっこ310: おぉ
[0:26:12] にこにここ: 相談だー！
[0:27:02] はっこ310: ほー
[0:27:15] にこにここ: へえー
[0:27:34] はっこ310: パレトとか北署の関係かね
[0:27:39] はーちゃん410: 色々あるんだねー
[0:27:55] sponjapan: 買われてるあそこが境界線かぁ？
[0:28:27] ラシ: 結構買われてるんだな
[0:28:30] ぼさつもんじゅ: 駐車場はどこでも行けるんじゃない
[0:28:34] pepu_pi: 街探索だけでも楽しそうw
[0:28:55] はーちゃん410: あるwww
[0:29:04] ぼさつもんじゅ: いいじゃん
[0:29:14] mol_guri: さっきのがいけてるならいけそうｗ
[0:29:19] Nightbot: Twitter:https://twitter.com/R6S_guilty
[0:29:22] はーちゃん410: お隣さん居るし
[0:29:38] やよち: おとなりさんと仲良くできるかな
