[0:00:32] kakitama8810: こんちわー
[0:00:35] ふともも3: おはようございます。
[0:00:48] oya1111: 早いねー
[0:00:51] cabinet3120: こんにちは
[0:00:58] 赤見二等兵: 初見です
[0:01:01] h4sh1_84: ナンバーワーン
[0:01:13] oya1111: もうすっかりストグラの人だ
[0:01:16] Nightbot: Twitter:https://twitter.com/R6S_guilty
[0:01:31] しののめかなた: コアぶっ壊されたときいて
[0:01:32] ふぁいぴ: guilty38Kon
[0:01:38] reitarouuuu: 初見です
[0:01:39] はむはむ_: guilty38Kon
[0:01:41] funibo: guilty38Kon guilty38Kon
[0:01:41] h4sh1_84: 昨日から初見です
[0:01:42] r24_2525: 初見です
[0:01:42] ぶたぁー: 初見です！
[0:01:47] hisuiiiiiiiiiiin: 初見です
[0:01:50] はむはむ_: 初見です
[0:01:52] しののめかなた: 今日は初見です
[0:01:53] Lys_1453: 初見です！
[0:01:56] haraguro115: こんにちは。初見です。頑張って下さい！
[0:02:10] syuraran_own: 初見です
[0:02:13] aki_mokomoko0209: 昨日から初見です
[0:02:16] aluforrt: 初見かもです
[0:02:18] 褒めらにあん: 待ってました〜〜
[0:02:24] funibo: 気持ちは所見です
[0:02:29] 彗星のナタリー: こんぎるー
[0:02:29] aitsualive: 多分初見です
[0:02:33] もんぬサマー: 抑制です
[0:02:33] キーア: guilty38Kon
[0:02:51] キーア: 今日も早起きねぇ
[0:03:06] にこにここ: 早番だ！おはようございます
[0:03:37] マナさん: guilty38Kon guilty38Kon
[0:03:44] しののめかなた: まとりとかしたことあったっけ
[0:03:56] しののめかなた: 今日は絵1個じゃないｗ
[0:04:11] しののめかなた: 同一人物
[0:04:31] びーえふ: ぎるる久しぶりきたら声二重になってる？
[0:04:37] ajaj1414wa: 最近「またあなたですか」にハマってる
[0:04:42] ouka_0319: こんぎる
[0:04:44] ふともも3: そういやマックさんのマスク外した顔みたことないなあ
[0:04:51] しののめかなた: ここに家構えてるのえぐいｗ
[0:05:14] もんぬサマー: この声で普通にぎるるの話し方だと違和感すごいなw
[0:05:17] びーえふ: あーねｗそうゆうことか
[0:05:23] 苺太郎: すみません、初コメです。ストグラを他視点でずっと見てたんですが、ケインオーがぎる君だった事に驚いてます
[0:05:33] ふともも3: ゆ、ふな
[0:05:34] キーア: souieba
[0:05:37] しののめかなた: ふゆ、な
[0:05:40] rururu3_: ゆ、ふな
[0:05:46] mekemeke33: ゆ、ふな
[0:06:14] にこにここ: しばらく気づかなかった
[0:06:16] キーア: そういえばふゆな君最近みないな
[0:06:17] ダン_3310: ぎるくん成分が混じらないようにってことか
[0:06:26] sa0i: RP楽しめるしね
[0:06:29] もんぬサマー: その方が正しくストグラ世界に合ってはいるよね
[0:06:36] mekemeke33: こんなところに溶鉱炉が
[0:06:41] しののめかなた: 気付いてしまったようだ
[0:06:45] びーえふ: ナイフいくぞーって言いますか？
[0:06:52] nonono090: ライブ初見です わしらの仲間になるえ
[0:07:21] ぽろん__: ケインオーのキャラ好きです
[0:07:50] pako2kuki: ウイルスバスターは仕事するのか
[0:07:51] DeraFort: 近未来の警察みたいでいい味出てるよ
[0:08:26] mekemeke33: いっぱい悩んでこうな
[0:08:28] weygw_: タイミングとどこに入るか、ですね
[0:08:28] ふぁいぴ: 今は白市民楽しんでけ
[0:08:31] しののめかなた: 白から黒に染まるのは楽だけど、黒から白はね
[0:08:34] ひちゃそ: 昨日のちゃるから初見です早番おつかれさまです
[0:08:35] funibo: ランク1なまま警察終わるのももったいないとは思う
[0:08:45] さーそー: 今日はねw
[0:08:48] nonono090: 楽しい物語を見せてくださいー！
[0:08:48] しののめかなた: 警察掌握してからで頼む
[0:09:01] ぽろん__: たしかに
[0:09:01] さーそー: スパイとかバレるのかな？
[0:09:04] pako2kuki: 上がれば上がるほど抜けにくくなりそうではある
[0:09:18] はっこ310: guilty38Kon
[0:09:18] sa0i: いろんな出会いもあるだろうし のんびり悩んで楽しんでください
[0:09:20] ロジーー: こんばんわ
[0:09:22] しののめかなた: ロスサントスきてこの人いたんだ！！って一番びっくりしたのは現状誰？
[0:09:33] araiguma00000: 黒市民ルートは自分の中である程度ストーリー決まってますか？
[0:09:43] さーそー: 運命に任せるのもこの街の醍醐味だよね
[0:10:26] weygw_: 見てたんですね
[0:10:37] しののめかなた: みてたんだｗ
[0:10:49] びーえふ: mznmtiMizukawa mznmtiMizukawa
[0:10:58] pako2kuki: 気になってるギャングは？
[0:11:00] nagi2525_: 色んなところで改造計画出されてるのまじでおもろい
[0:11:03] はっこ310: 黒落ちするとメカニックもできなさそうだし
[0:11:06] mobfishy_: チャルとケインが一緒にいるところ見たいえ
[0:11:10] 匿名420: ギャングの人と仲良くなる必要あるかもね
[0:11:18] もんぬサマー: それでも黒落ちが後を絶たないのはギャングにも魅力あるってことなのか
[0:11:20] ロジーー: RPRP言うけど、長時間やること考えると中々大変よね
[0:11:27] ノラネコ4596: 黒専用のメカニックあるよ
[0:11:31] しののめかなた: それはねｗｗｗ
[0:11:32] funibo: 身内だからねｗ
[0:11:33] さーそー: www
[0:11:35] sa0i: wwww
[0:11:35] 和食定食: www
[0:11:36] はむはむ_: ｗｗｗｗ
[0:11:36] mekemeke33: ｗｗｗｗｗｗ
[0:11:36] はっこ310: だえ～
[0:11:37] ayame_oxo: イツメンすぎるww
[0:11:38] nonono090: w
[0:11:39] aitsualive: www
[0:11:40] キーア: www
[0:11:41] ふぁいぴ: ｗｗｗ
[0:11:42] さーそー: 身内すぎちゃうw
[0:11:45] ロジーー: 確かに
[0:11:46] しののめかなた: イツメンになっちゃうｗ
[0:12:03] nonono090: なるほどね
[0:12:07] ロジーー: せっかくのRPでもあるしな
[0:12:09] araiguma00000: ストグラの中の出会いも面白いもんね
[0:12:15] ゆっけ_馬刺しらたき: オールインもなかなかじゃない？w
[0:12:16] runaru_10: 868組は
[0:12:27] もんぬサマー: いっそ救急隊も見てみたくはあるw再起動かける側
[0:12:29] udon202: そのままvaloかapeしそうだなたしかにｗ
[0:12:38] しののめかなた: いさせんいつも早番だね
[0:12:57] nagi2525_: 魂めちゃくちゃ若いのにな
[0:12:58] hubupei: 警察で話しやすいなって人っている？
[0:13:11] はっこ310: 昨日の世界が黒落ち拒否のクリップは正直笑った
[0:13:19] バぁにぃ: コンセルジュとか新興ギャングに入る可能性もあるかな？
[0:13:23] しののめかなた: 薬かｗ
[0:13:40] otyappa0312: こんにちは～
[0:13:41] hubupei: 自分は個人的にぺいん先輩との絡みがすきw
[0:13:41] EarlGrey_SPR: 初コメです
[0:14:05] ロジーー: ネルさんもスロカスだしなぁ
[0:14:07] しののめかなた: 元々絡んでいるイメージないからすごい新鮮
[0:14:22] のどごし悪男: 物語的に半グレから始めるのは大変か
[0:14:23] さくみん: ロボットRPにして後悔したことってありますか？いつも他視点から見てて笑わないの凄いなって思ってます。
[0:14:23] kurosuke36: 絡み好き
[0:14:29] ゆっけ_馬刺しらたき: 逆に知り合いじゃなかったギャングの人とかで話しやすい人います？
[0:14:31] ロジーー: 4000枚でテーザー銃撃ってくれたね
[0:14:35] naru0723: こんばんは！
[0:15:01] もんぬサマー: 笑うだけでストーリーになりそうw
[0:15:02] しののめかなた: ケインオーは交換救急隊いくの？その内
[0:15:03] pako2kuki: 笑わないはつらい
[0:15:04] ふともも3: たばこ吸ってると言われるよねｗ
[0:15:07] hubupei: でも昨日ぺいん先輩の時に笑ってなかった?ww
[0:15:12] さくみん: ですよねw
[0:15:17] しののめかなた: まじでガタイいいなｗ
[0:15:23] alt1670: 笑えるようになるってのも物語かもね
[0:15:23] reaondreamer: ヘリだけは苦手だなぁ...
[0:15:25] はっこ310: www
