[0:00:23] nikonikoyohtube: おっすー
[0:00:24] sabachann123456: こん
[0:00:26] hinata_qdm: よお
[0:00:26] kakinootaane: こん
[0:00:26] shunn777: こん
[0:00:26] thiru_sudyn: こん
[0:00:29] sknwm: こん
[0:00:29] kuuhaku12140915: こんな
[0:00:30] yamashitar: こん
[0:00:30] れれらい: こん
[0:00:31] 海猫だおーん: こん
[0:00:31] ryu011500: こん
[0:00:31] aaaappap: こん
[0:00:31] aya_s: こん
[0:00:31] kakinootaane: 配信うれしー
[0:00:32] kakikame: こん
[0:00:34] ghosthunt98: こんだえ
[0:00:34] 12272006_: ちや
[0:00:34] くしなだよ: こん
[0:00:36] phoenix_desu: こん
[0:00:40] sakuto3399: おはよう
[0:00:41] レヴィ99: だえー
[0:00:41] ukkokei3: こん
[0:00:41] れれらい: ありけんちゃんと寝た?
[0:00:43] やっぴーゆ: こんばんわだえ
[0:00:45] hinata_qdm: バロ見てたん？
[0:00:46] yariron: や
[0:00:46] クマ11: こん
[0:00:49] clachetst: チャルけんおはよう
[0:00:50] hahahaijtkrkdjsnssk: こん
[0:00:54] ghosthunt98: えら
[0:00:54] kakinootaane: えら
[0:00:56] ことみょん: えらい
[0:00:59] kuuhaku12140915: やばそう
[0:01:01] hahahaijtkrkdjsnssk: えら
[0:01:03] sakuto3399: どれくらい溜まった？
[0:01:04] 12272006_: それはいいな
[0:01:05] 海名: こんばんは
[0:01:08] torataco09: バロ見てた？
[0:01:09] ティーセブン: ファームの鬼
[0:01:09] ロンウィズリー: こん
[0:01:12] hahahaijtkrkdjsnssk: ﾜｸﾜｸ
[0:01:12] kakinootaane: それでいいよ
[0:01:27] YuNa_rr: こん
[0:01:43] こだだあ: こん
[0:01:45] シマシマさん: やっほーい
[0:01:47] 花咲か兄さん: こん
[0:01:52] tooi9215: 貯金も増えるわけですね
[0:01:57] binzdayo: こん
[0:02:10] binzdayo: binzdayo subscribed at Tier 1. They've subscribed for 15 months! 
[0:02:11] なのさんちゃん: こんーー！
[0:02:24] ソルティー_: おはチャル
[0:02:25] tomato_7: ありけん。アムロレイの真似できる？
[0:02:28] jdjrdjdva: FORTNITE
[0:02:31] mobfishy_: 今日もデイリーケインからかえ？
[0:02:32] Run0808: おは
[0:02:41] tomato_7: ww,
[0:02:44] フンバルト_ヘーデル: こんこんこんこんコンソメパンチ
[0:02:56] フンバルト_ヘーデル: どれどれ
[0:02:56] hahahaijtkrkdjsnssk: うおおおおおおお
[0:02:56] ぜうすさぶお: こん
[0:03:02] ムヤサキ: サンジ入ってたぞ
[0:03:04] jdjrdjdva: FORTNITEもうすぐえすえぬしーえすけっしょうですよ！！！！！
[0:03:10] ぜうすさぶお: えっぐ
[0:03:11] ぶたぁー: おは
[0:03:12] リコ7: えぐ
[0:03:13] atsumori_pop: ファーム王やん
[0:03:13] レヴィ99: えぐ
[0:03:15] sakuto3399: やば
[0:03:16] フンバルト_ヘーデル: 警察来た？
[0:03:17] torataco09: 死ぬよw
[0:03:20] 寺田恋心: えぐ
[0:03:43] nikorasu777: こん
[0:04:13] masanosuke01: やっときたああああ
[0:04:33] want_5870: まってた
[0:04:36] ichi38_: おはよー
[0:04:39] 153649782: 153649782 watched 7 consecutive streams this month and sparked a watch streak! 
[0:06:12] フンバルト_ヘーデル: カジノだぁ
[0:06:20] フンバルト_ヘーデル: くぅぅ
[0:06:24] フンバルト_ヘーデル: オワタw
[0:06:25] ぜうすさぶお: ｗｗｗｗ
[0:06:27] ソルティー_: やるのw
[0:06:32] papapapupepon: ママのランポ返さなくていいのかえ？
[0:06:44] EnidxxxSinclair: 初めて会った人いない？
[0:07:03] aimbotsasa: あの人言わないけどランポ重要だえきっと
[0:07:20] レヴィ99: この先っちょの人誰だ？
[0:07:32] ぜうすさぶお: ｗｗｗｗ
[0:07:33] フンバルト_ヘーデル: ん？
[0:07:54] くうれい: あるよｗｗ
[0:07:56] フンバルト_ヘーデル: うそつけw
[0:07:58] ぜうすさぶお: ｗｗｗｗｗｗｗ
[0:08:00] さけじゃけ: wwww
[0:08:00] ソルティー_: www
[0:08:00] 湘南マグナム: ｗｗｗｗ
[0:08:03] 野良餃子: www
[0:08:10] aya_s: wwww
[0:09:00] フンバルト_ヘーデル: いいねぇ
[0:09:17] フンバルト_ヘーデル: 賑やかだえ
[0:10:01] ぜうすさぶお: うまい
[0:10:26] masanosuke01: かおぶっすww
[0:10:42] フンバルト_ヘーデル: 15時さんのの顔すごいえ
[0:11:25] zenith_ar: こんばんはだぇ
[0:11:28] フンバルト_ヘーデル: ２兆にするえ
[0:11:57] ソルティー_: おっし
[0:12:02] ぜうすさぶお: ｗｗｗｗｗｗｗ
