[0:00:09] su1ryu30: こんちゃー
[0:00:15] raika_033: こんぎる
[0:00:15] ギルくん: 出来事や発言はすべてロールプレイで起こったフィクションです! 指示コメ禁止!鳩コメ禁止! 他視点の情報も禁止見かけてもスルーお願いします!
[0:00:16] kurqge_mk2: こんぎる
[0:00:20] hal_8801: こんばんは
[0:00:20] satumim: こんぎる
[0:00:21] pennginn_ta: こんにちはー
[0:00:21] おともカフェ: こんぎる！
[0:00:23] swift_horse: guilty38Kon
[0:00:27] おるぅくん: こんぎる
[0:00:27] mamoruall: おはよー
[0:00:28] karasimayon: こんぎるー
[0:00:33] chanpon__73: こんぎるーー
[0:00:33] ただのもち3321: こんぎる
[0:00:34] ryu031529: こんぎる
[0:00:34] 1amsat0: こんぎるー
[0:00:34] nakaringo: こんぎるー
[0:00:35] EarlGrey_SPR: こんぎる
[0:00:35] nikukue: こんぎる
[0:00:36] ruabu: こん
[0:00:36] うずら3: こんぎる
[0:00:36] ruterute_016: guilty38Kon guilty38Kon
[0:00:37] 名無し333: guilty38Kon
[0:00:37] 凛君: おはYo
[0:00:37] iris____01: こんぎるー！
[0:00:37] てん0521: こんぎる！
[0:00:37] ryu8380: こんぎる
[0:00:37] ただのばんり: こんぎるる
[0:00:38] mamoruall: guilty38Kon
[0:00:38] アカシアくん: こんぎる
[0:00:38] kuro00000000000000: guilty38Kon guilty38Kon
[0:00:38] Halu0401: こんぎる〜
[0:00:38] しろきる: こん
[0:00:39] nekomaru52: こんぎる
[0:00:39] うな重うな抜き: こんぎるおはよー
[0:00:39] tokuchan0619: こんぎる
[0:00:40] hime_25253: こんぎるん！
[0:00:40] manmal_u: こんぎるーー！
[0:00:41] おチャチャさん: こんぎるる
[0:00:41] たこジュン: guilty38Kon
[0:00:42] dokukinoko_lily: こんぎるー
[0:00:42] てぃなきち: こんぎる
[0:00:42] おもい: おはー
[0:00:42] momiiiiio: こんぎる
[0:00:43] ただのばんり: ねおき？
[0:00:44] veterues: おはよう御座います
[0:00:44] ぱんたろす: おはようございます！
[0:00:44] yunikun0203: こんぎる
